row_label_raw,row_label_full,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Loại trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Loại trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2021
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,102.282.056.920,773.864.908.792,952.497.754.703,126.443.746.711,26.036.017.496,-,1.981.124.484.622,102282056920.0,773864908792.0,952497754703.0,126443746711.0,26036017496.0,,1981124484622.0
Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu thuần từ bán hàng cho các bộ phận,-,-,,,4.899.065.954,(4.899.065.954),-,,,,,4899065954.0,-4899065954.0,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,102.282.056.920,773.864.908.792,952.497.754.703,126.443.746.711,30.935.083.450,(4.899.065.954),1.981.124.484.622,102282056920.0,773864908792.0,952497754703.0,126443746711.0,30935083450.0,-4899065954.0,1981124484622.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,47.610.476.204,22.192.140.320,189.900.930.813,67.818.128.481,(3.277.697.233),-,324.243.978.585,47610476204.0,22192140320.0,189900930813.0,67818128481.0,-3277697233.0,,324243978585.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,(10.170.793.924),,,,,,,-10170793924.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,314.073.184.661,,,,,,,314073184661.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(25.329.734.771),,,,,,,-25329734771.0
Chi phí thuế TNDN hoãn lại,Kết quả > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,(615.187.316),,,,,,,-615187316.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,288.128.262.574,,,,,,,288128262574.0
Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),Vào ngày 31 tháng 12 năm 2021 (Trình bày lại),,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,636.918.065.770,109.616.352.994,318.337.951.152,193.102.936.188,-,-,1.257.975.306.104,636918065770.0,109616352994.0,318337951152.0,193102936188.0,,,1257975306104.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,4.187.319.522.057,,,,,,,4187319522057.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,5.445.294.828.161,,,,,,,5445294828161.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,161.370.142.378,8.035.745.050,155.495.754.302,6.825.071.644,-,-,331.726.713.374,161370142378.0,8035745050.0,155495754302.0,6825071644.0,,,331726713374.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,294.345.970.344,,,,,,,294345970344.0
