row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộptrong năm,Số đã nộptrong năm,Đơn vị tính: VND,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộptrong năm,numeric__Số đã nộptrong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.236.112.669,29.440.011.736,(27.296.093.884),3.380.030.521,1236112669.0,29440011736.0,-27296093884.0,3380030521.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,7.631.512.113,27.095.115.051,(29.480.482.279),5.246.144.885,7631512113.0,27095115051.0,-29480482279.0,5246144885.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,816.341.736,14.232.365.163,(12.740.046.485),2.308.660.414,816341736.0,14232365163.0,-12740046485.0,2308660414.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.135.939.146,16.040.890.641,(15.962.640.417),1.214.189.370,1135939146.0,16040890641.0,-15962640417.0,1214189370.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,6.886.266.545,435.121.417,(7.188.286.249),133.101.713,6886266545.0,435121417.0,-7188286249.0,133101713.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,17.706.172.209,87.243.504.008,(92.667.549.314),12.282.126.903,17706172209.0,87243504008.0,-92667549314.0,12282126903.0
,,,Số đầu năm,Số phải thu trongnăm,Số đã thu trongnăm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,557.141.663,860.469.514,(150.833.848),1.266.777.329,557141663.0,860469514.0,-150833848.0,1266777329.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,941.957.607,70.612.137,(794.435.533),218.134.211,941957607.0,70612137.0,-794435533.0,218134211.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.055.728.881,118.888.652,(2.174.617.533),-,2055728881.0,118888652.0,-2174617533.0,
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,22.849.936,26.063.737,(22.849.718),26.063.955,22849936.0,26063737.0,-22849718.0,26063955.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,3.577.678.087,1.076.034.040,(3.142.736.632),1.510.975.495,3577678087.0,1076034040.0,-3142736632.0,1510975495.0
