row_label_raw,row_label_full,Số đầu năm > Trích quỹ trong năm (Thuyết minh số 22.1) > Sử dụng quỹ trong năm,Số cuối năm > 34.194.268.483 > 36.428.718.986 > (31.255.303.732),Đơn vị tính: VND > Số đầu năm(Trình bày lại) > 31.974.809.704 > 33.393.277.646 > (31.173.818.867),numeric__Số cuối năm > 34.194.268.483 > 36.428.718.986 > (31.255.303.732),numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại) > 31.974.809.704 > 33.393.277.646 > (31.173.818.867)
Giảm khác,Giảm khác,Giảm khác,(4.052.377.903),-,-4052377903.0,
Số cuối năm,Số cuối năm,Số cuối năm,35.315.305.834,34.194.268.483,35315305834.0,34194268483.0
