row_label_raw,row_label_full,Số dư đầu năm > Tăng vốn vào công ty con trong năm,Năm nay > 82.307.985.213 > 10.994.250.000,Đơn vị tính: VND > Năm trước(Trình bày lại) > 75.015.691.224 > -,numeric__Năm nay > 82.307.985.213 > 10.994.250.000,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại) > 75.015.691.224 > -
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,8.898.531.744,11.421.418.728,8898531744.0,11421418728.0
Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,(1.766.594.140),(2.910.377.826),-1766594140.0,-2910377826.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",(1.783.419.733),(1.218.746.913),-1783419733.0,-1218746913.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,98.650.753.084,82.307.985.213,98650753084.0,82307985213.0
