row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__col_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,,,,,
1,1,1,Công ty Cổ phần 19/5 Đoan Hùng,"49,01%","49,01%","49,01%","49,01%",,0.4901,0.4901,0.4901,0.4901
2,2,2,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Cái Lân,"49,00%","49,00%","49,00%","49,00%",,0.49,0.49,0.49,0.49
3,3,3,Công ty Cổ phần Giống Lâm nghiệp Trung U'ong,"48,10%","48,10%","48,10%","48,10%",,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004
4,4,4,Công ty Cổ phần Cờ Đỏ,"45,78%","45,78%","45,78%","45,78%",,0.4578,0.4578,0.4578,0.4578
5,5,5,Công ty TNHH Năng lượng tái tạo UNI-VINAFOR Châu Đức (i),"45,00%","45,00%",0%,0%,,0.45,0.45,0.0,0.0
6,6,6,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,"40,00%","40,00%","40,00%","40,00%",,0.4,0.4,0.4,0.4
7,7,7,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,"40,00%","40,00%","40,00%","40,00%",,0.4,0.4,0.4,0.4
8,8,8,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,"39,97%","39,97%","39,97%","39,97%",,0.3997,0.3997,0.3997,0.3997
9,9,9,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,"35,00%","35,00%","35,00%","35,00%",,0.35,0.35,0.35,0.35
10,10,10,Công ty TNHH Việt Thành Thái,"35,00%","35,00%","35,00%","35,00%",,0.35,0.35,0.35,0.35
11,11,11,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,"31,07%","31,07%","31,07%","31,07%",,0.3107,0.3107,0.3107,0.3107
12,12,12,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
13,13,13,Công ty Cổ phần Kon Hà Nùng,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
14,14,14,Công ty Cổ phần Lâm nghiệp 19,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
15,15,15,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
16,16,16,Công ty Cổ phần Thương mại Lâm sản Hà Nội,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
17,17,17,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
18,18,18,Công ty TNHH Yamaha Motor Việt Nam,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
