row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,384.893.234.621,466.428.815.062,65.424.496.623,64.122.931.926,11.696.774.390,992.566.252.622,384893234621.0,466428815062.0,65424496623.0,64122931926.0,11696774390.0,992566252622.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.485.739.302,4.903.486.200,5.604.542.222,352.727.272,-,12.346.494.996,1485739302.0,4903486200.0,5604542222.0,352727272.0,,12346494996.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,11.234.962.175,4.755.847.524,-,-,-,15.990.809.699,11234962175.0,4755847524.0,,,,15990809699.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.370.396.750),(3.856.506.950),(2.238.317.447),(68.436.363),(123.689.160),(8.657.346.670),-2370396750.0,-3856506950.0,-2238317447.0,-68436363.0,-123689160.0,-8657346670.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,395.243.539.348,472.231.641.836,68.790.721.398,64.407.222.835,11.573.085.230,1.012.246.210.647,395243539348.0,472231641836.0,68790721398.0,64407222835.0,11573085230.0,1012246210647.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,125.722.269.561,317.788.331.206,24.007.258.333,59.860.413.812,1.514.963.543,528.893.236.455,125722269561.0,317788331206.0,24007258333.0,59860413812.0,1514963543.0,528893236455.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,286.231.093.810,397.574.697.935,48.027.719.423,61.912.278.105,6.590.069.195,800.335.858.468,286231093810.0,397574697935.0,48027719423.0,61912278105.0,6590069195.0,800335858468.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,10.716.846.187,19.441.154.790,5.248.256.928,615.895.479,787.635.272,36.809.788.656,10716846187.0,19441154790.0,5248256928.0,615895479.0,787635272.0,36809788656.0
- Chuyển sang bất động sảnđầu tư,Giá trị khấu hao lũy kế: > - Chuyển sang bất động sảnđầu tư,- Chuyển sang bất động sảnđầu tư,-,-,(20.732.235),-,-,(20.732.235),,,-20732235.0,,,-20732235.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.370.396.750),(3.856.506.951),(2.238.317.447),(68.436.363),(98.875.219),(8.632.532.730),-2370396750.0,-3856506951.0,-2238317447.0,-68436363.0,-98875219.0,-8632532730.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,294.577.543.247,413.159.345.774,51.016.926.669,62.459.737.221,7.278.829.248,828.492.382.159,294577543247.0,413159345774.0,51016926669.0,62459737221.0,7278829248.0,828492382159.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,98.662.140.811,68.854.117.127,17.396.777.200,2.210.653.821,5.106.705.195,192.230.394.154,98662140811.0,68854117127.0,17396777200.0,2210653821.0,5106705195.0,192230394154.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,100.665.996.101,59.072.296.062,17.773.794.729,1.947.485.614,4.294.255.982,183.753.828.488,100665996101.0,59072296062.0,17773794729.0,1947485614.0,4294255982.0,183753828488.0
