row_label_raw,row_label_full,col_0,col_1,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__col_1,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01,01,Mua sắm tài sản cố định,(177.467),(53.262),,-177467.0,-53262.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",491,-,,491.0,
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04,04,Mua sắm bất động sản đầu tư,(4.864),(8.749),,-4864.0,-8749.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05,05,"Tiền thu từ bán, thanh lý bất động sản đầu tư",4.344,6.696,,4344.0,6696.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",17.082,141.993,,17082.0,141993.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",4.306,9.454,,4306.0,9454.0
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(156.108),96.132,,-156108.0,96132.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > 01,01,Tăng vốn cổ phần từ phát hành cổ phiếu,1.406.782,1.681.000,,1406782.0,1681000.0
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,1.406.782,1.681.000,,1406782.0,1681000.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > IV,IV,LU'U CIUYÊN TIÊN THUÀN TRONG NĂM,1.370.668,9.555.464,,1370668.0,9555464.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,28.657.098,19.101.634,,28657098.0,19101634.0
VII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM (THUYẾT MINH 35),30.027.766,28.657.098,,30027766.0,28657098.0
