row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại 31 tháng 12 năm 2020(Triệu VND)","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5năm","Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5năm","numeric__Ngân hàng Thương mại Cổ phần Đông Nam ÁSố 25, Phổ Trần Hưng Đạo, Phường Phan Chu TrinhQuận Hoàn Kiểm, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.012.228,-,-,-,-,-,-,1.012.228,,1012228.0,,,,,,,1012228.0
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,,,,,,,,,,,,,,,,,
Nhà nước,Tiền gửi tại Ngân hàng > Nhà nước,Nhà nước,-,-,3.374.359,-,-,-,-,-,3.374.359,,,3374359.0,,,,,,3374359.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi tại Ngân hàng > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,23.152.679,2.588.500,-,-,-,-,25.741.179,,,23152679.0,2588500.0,,,,,25741179.0
Chứng khoán kinh doanh - gộp,Tiền gửi tại Ngân hàng > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,2.705.920,-,-,-,-,-,2.705.920,,,2705920.0,,,,,,2705920.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tiền gửi tại Ngân hàng > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,144.604,-,-,-,-,-,-,144.604,,144604.0,,,,,,,144604.0
Cho vay khách hàng - gộp,Tiền gửi tại Ngân hàng > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.135.684,-,32.177.709,21.403.796,40.933.577,12.152.628,57.772,8.070,108.869.236,2135684.0,,32177709.0,21403796.0,40933577.0,12152628.0,57772.0,8070.0,108869236.0
Chứng khoán đầu tư - gộp,Tiền gửi tại Ngân hàng > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,3.084.482,3.408.741,9.152.124,14.670.986,1.584.804,319.364,32.220.501,,,3084482.0,3408741.0,9152124.0,14670986.0,1584804.0,319364.0,32220501.0
"Gộp vốn, đầu tư dài hạn","Tiền gửi tại Ngân hàng > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,131.666,-,-,-,-,-,-,131.666,,131666.0,,,,,,,131666.0
Tài sản cố định,Tiền gửi tại Ngân hàng > Tài sản cố định,Tài sản cố định,-,862.487,-,-,-,-,-,-,862.487,,862487.0,,,,,,,862487.0
Tài sản Có khác - gộp,Tiền gửi tại Ngân hàng > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,6.128.183,-,-,-,-,-,-,6.128.183,,6128183.0,,,,,,,6128183.0
,,,2.135.684,8.279.168,64.495.149,27.401.037,50.085.701,26.823.614,1.642.576,327.434,181.190.363,2135684.0,8279168.0,64495149.0,27401037.0,50085701.0,26823614.0,1642576.0,327434.0,181190363.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNgân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ vàNgân hàng Nhà nước,Các khoản nợ Chính phủ vàNgân hàng Nhà nước,-,-,25.240,60.968,68.086,51.408,-,-,205.702,,,25240.0,60968.0,68086.0,51408.0,,,205702.0
Tiền gửi và vay các tổ chức tındụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tındụng khác,Tiền gửi và vay các tổ chức tındụng khác,-,-,39.779.179,2.457.464,280.030,-,-,-,42.516.673,,,39779179.0,2457464.0,280030.0,,,,42516673.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,32.262.653,18.678.351,25.143.734,23.314.877,13.876.982,-,113.276.597,,,32262653.0,18678351.0,25143734.0,23314877.0,13876982.0,,113276597.0
"Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro",-,1.020,-,-,-,-,-,-,1.020,,1020.0,,,,,,,1020.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,104.610,457.490,1.683.130,2.312.090,1.541.420,966.000,7.064.740,,,104610.0,457490.0,1683130.0,2312090.0,1541420.0,966000.0,7064740.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.472.178,-,-,-,-,-,-,3.472.178,,3472178.0,,,,,,,3472178.0
,,,-,3.473.198,72.171.682,21.654.273,27.174.980,25.678.375,15.418.402,966.000,166.536.910,,3473198.0,72171682.0,21654273.0,27174980.0,25678375.0,15418402.0,966000.0,166536910.0
Mức chênh nhạy cảmvới lãi suất,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất,Mức chênh nhạy cảmvới lãi suất,2.135.684,4.805.970,(7.676.533),5.746.764,22.910.721,1.145.239,(13.775.826),(638.566),14.653.453,2135684.0,4805970.0,-7676533.0,5746764.0,22910721.0,1145239.0,-13775826.0,-638566.0,14653453.0
