row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.100,300.881,696.981,396100.0,300881.0,696981.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,62.636,62.636,,62636.0,62636.0
Giám trong năm,Nguyên giá > Giám trong năm,Giám trong năm,(18.105),-,(18.105),-18105.0,,-18105.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,377.995,363.517,741.512,377995.0,363517.0,741512.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,138.149,138.149,,138149.0,138149.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,24.372,24.372,,24372.0,24372.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,162.521,162.521,,162521.0,162521.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,396.100,162.732,558.832,396100.0,162732.0,558832.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,377.995,200.996,578.991,377995.0,200996.0,578991.0
