row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020 (Triệu VND),USD,EUR,Tiền tệ khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,86.182,97.259,107.866,291.307,86182.0,97259.0,107866.0,291307.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.287.045,-,-,1.287.045,1287045.0,,,1287045.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,3.298.459,271.710,56.203,3.626.372,3298459.0,271710.0,56203.0,3626372.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.429.101,1.996,-,2.431.097,2429101.0,1996.0,,2431097.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,289.499,824,-,290.323,289499.0,824.0,,290323.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.390.286,371.789,164.069,7.926.144,7390286.0,371789.0,164069.0,7926144.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,4.927.766,-,-,4.927.766,4927766.0,,,4927766.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.996.152,310.302,41.662,3.348.116,2996152.0,310302.0,41662.0,3348116.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,2.016.857,71.293,130.125,2.218.275,2016857.0,71293.0,130125.0,2218275.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,55.072,1.138,-,56.210,55072.0,1138.0,,56210.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,9.995.847,382.733,171.787,10.550.367,9995847.0,382733.0,171787.0,10550367.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(2.605.561),(10.944),(7.718),(2.624.223),-2605561.0,-10944.0,-7718.0,-2624223.0
