row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2020 > Triệu VND,2019 > Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2020 > Triệu VND,numeric__2019 > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,,10.695.780,10.208.207,,,10695780.0,10208207.0
2,2,2,Chi phí lãi và các chi phí tương tự,,(7.634.064),(7.313.638),,,-7634064.0,-7313638.0
I,I,I,Thu nhập lãi thuần,25,3.061.716,2.894.569,,25.0,3061716.0,2894569.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,522.679,523.230,,,522679.0,523230.0
4,4,4,Chi phí hoạt động dịch vụ,,(166.481),(187.744),,,-166481.0,-187744.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,26,356.198,335.486,,26.0,356198.0,335486.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,27,74.729,10.301,,27.0,74729.0,10301.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,28,166.774,171.124,,28.0,166774.0,171124.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29,171.671,235.002,,29.0,171671.0,235002.0
5,5,5,Thu nhập từ hoạt động khác,,1.152.398,1.676.931,,,1152398.0,1676931.0
6,6,6,Chi phí hoạt động khác,,(404.105),(143.225),,,-404105.0,-143225.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,748.293,1.533.706,,30.0,748293.0,1533706.0
VII,VII,VII,Thu nhập từ góp vốn mua cổ phần,,4.306,30.625,,,4306.0,30625.0
VIII,VIII,VIII,Chi phí hoạt động,31,(2.177.375),(1.988.350),,31.0,-2177375.0,-1988350.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,2.406.312,3.222.463,,,2406312.0,3222463.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,,(677.376),(1.831.765),,,-677376.0,-1831765.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,1.728.936,1.390.698,,,1728936.0,1390698.0
