row_label_raw,row_label_full,Trên 3 tháng,Dưới 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Dưới 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
-,-,-,-,1.012.228,-,-,-,-,1.012.228,,1012228.0,,,,,1012228.0
-,-,-,-,3.374.359,-,-,-,-,3.374.359,,3374359.0,,,,,3374359.0
-,-,-,-,23.152.679,2.588.500,-,-,-,25.741.179,,23152679.0,2588500.0,,,,25741179.0
-,-,-,-,2.705.920,-,-,-,-,2.705.920,,2705920.0,,,,,2705920.0
-,-,-,-,-,121.495,23.109,-,-,144.604,,,121495.0,23109.0,,,144604.0
2.020.962,2.020.962,2.020.962,114.722,4.202.222,5.100.583,51.829.478,22.797.120,22.804.149,108.869.236,114722.0,4202222.0,5100583.0,51829478.0,22797120.0,22804149.0,108869236.0
-,-,-,-,20.760.908,650.000,2.822.629,6.577.611,1.409.353,32.220.501,,20760908.0,650000.0,2822629.0,6577611.0,1409353.0,32220501.0
-,-,-,-,-,-,-,-,131.666,131.666,,,,,,131666.0,131666.0
-,-,-,-,-,-,-,-,862.487,862.487,,,,,,862487.0,862487.0
-,-,-,-,375.980,1.489.039,1.509.583,2.753.581,-,6.128.183,,375980.0,1489039.0,1509583.0,2753581.0,,6128183.0
2.020.962,2.020.962,2.020.962,114.722,55.584.296,9.949.617,56.184.799,32.128.312,25.207.655,181.190.363,114722.0,55584296.0,9949617.0,56184799.0,32128312.0,25207655.0,181190363.0
-,-,-,-,25.240,60.968,119.494,-,-,205.702,,25240.0,60968.0,119494.0,,,205702.0
-,-,-,-,39.779.179,2.457.464,280.030,-,-,42.516.673,,39779179.0,2457464.0,280030.0,,,42516673.0
-,-,-,-,32.262.653,18.678.351,48.458.611,13.876.982,-,113.276.597,,32262653.0,18678351.0,48458611.0,13876982.0,,113276597.0
-,-,-,-,-,-,-,1.020,-,1.020,,,,,1020.0,,1020.0
-,-,-,-,104.610,457.490,3.995.220,1.541.420,966.000,7.064.740,,104610.0,457490.0,3995220.0,1541420.0,966000.0,7064740.0
-,-,-,-,872.941,693.975,1.529.781,375.481,-,3.472.178,,872941.0,693975.0,1529781.0,375481.0,,3472178.0
-,-,-,-,73.044.623,22.348.248,54.383.136,15.794.903,966.000,166.536.910,,73044623.0,22348248.0,54383136.0,15794903.0,966000.0,166536910.0
2.020.962,2.020.962,2.020.962,114.722,(17.460.327),(12.398.631),1.801.663,16.333.409,24.241.655,14.653.453,114722.0,-17460327.0,-12398631.0,1801663.0,16333409.0,24241655.0,14653453.0
