row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.100,274.958,671.058,396100.0,274958.0,671058.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,25.923,25.923,,25923.0,25923.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,396.100,300.881,696.981,396100.0,300881.0,696981.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,119.032,119.032,,119032.0,119032.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,19.117,19.117,,19117.0,19117.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,138.149,138.149,,138149.0,138149.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,396.100,155.926,552.026,396100.0,155926.0,552026.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,396.100,162.732,558.832,396100.0,162732.0,558832.0
