row_label_raw,row_label_full,col_0,Dự phòng chung cho chứng khoán nợ sẵn sàng để bánTriệu VND,Dự phòng cụ thể cho chứng khoán nợ sẵn sàng để bánTriệu VND,TổngTriệu VND,numeric__Dự phòng chung cho chứng khoán nợ sẵn sàng để bánTriệu VND,numeric__Dự phòng cụ thể cho chứng khoán nợ sẵn sàng để bánTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,9.676,3.246,12.922,9676.0,3246.0,12922.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,22.791,(2.410),20.381,22791.0,-2410.0,20381.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,32.468,836,33.304,32468.0,836.0,33304.0
