row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),Quả hạn > Trên 3tháng,Quả hạn > Dưới 3tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 đến5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quả hạn > Trên 3tháng,numeric__Quả hạn > Dưới 3tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 đến5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.290.009,-,-,-,-,1.290.009,,,1290009.0,,,,,1290009.0
Tiền gửi tại Ngân hàng Nhà nước,Tải sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,3.231.833,-,-,-,-,3.231.833,,,3231833.0,,,,,3231833.0
Tiền gửi và cho vay các TCTD khác - gộp,Tải sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,18.461.331,6.717.469,221.135,-,-,25.399.935,,,18461331.0,6717469.0,221135.0,,,25399935.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,1.310.696,-,-,-,-,1.310.696,,,1310696.0,,,,,1310696.0
Các công cụ tài chính phải sinh,Tải sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,-,6.215,223.959,(200.801),4.044,-,33.417,,,6215.0,223959.0,-200801.0,4044.0,,33417.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.280.009,139.246,2.270.079,7.252.890,44.639.950,28.183.183,13.848.482,98.613.839,2280009.0,139246.0,2270079.0,7252890.0,44639950.0,28183183.0,13848482.0,98613839.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,7.096.405,1.599.897,1.957.059,9.084.225,950.000,20.687.586,,,7096405.0,1599897.0,1957059.0,9084225.0,950000.0,20687586.0
"Gộp vốn, đầu tư dài hạn - gộp","Tải sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,147.848,147.848,,,,,,,147848.0,147848.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,-,-,-,-,770.572,770.572,,,,,,,770572.0,770572.0
Bất động sản đầu tư,Tải sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,241.518,241.518,,,,,,,241518.0,241518.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,-,-,503.379,630.702,1.767.734,4.034.065,-,6.935.880,,,503379.0,630702.0,1767734.0,4034065.0,,6935880.0
,,,2.280.009,139.246,34.169.947,16.424.917,48.385.077,41.305.517,15.958.420,158.663.133,2280009.0,139246.0,34169947.0,16424917.0,48385077.0,41305517.0,15958420.0,158663133.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủvà Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủvà Ngân hàng Nhà nước,Các khoản nợ Chính phủvà Ngân hàng Nhà nước,-,-,25.240,60.968,152.384,-,-,238.592,,,25240.0,60968.0,152384.0,,,238592.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,25.160.747,6.235.759,73.145,-,-,31.469.651,,,25160747.0,6235759.0,73145.0,,,31469651.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,22.846.701,16.146.142,38.123.774,18.600.811,9.890,95.727.318,,,22846701.0,16146142.0,38123774.0,18600811.0,9890.0,95727318.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,-,1.020,-,1.020,,,,,,1020.0,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,19.700,99.670,3.828.950,6.774.860,4.956.000,15.679.180,,,19700.0,99670.0,3828950.0,6774860.0,4956000.0,15679180.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,245.986,454.574,740.760,1.915.365,-,3.356.685,,,245986.0,454574.0,740760.0,1915365.0,,3356685.0
,,,-,-,48.298.374,22.997.113,42.919.013,27.292.056,4.965.890,146.472.446,,,48298374.0,22997113.0,42919013.0,27292056.0,4965890.0,146472446.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.280.009,139.246,(14.128.427),(6.572.196),5.466.064,14.013.461,10.992.530,12.190.687,2280009.0,139246.0,-14128427.0,-6572196.0,5466064.0,14013461.0,10992530.0,12190687.0
