row_label_raw,row_label_full,col_0,Dự phòng chung cho chứng khoán nợ sản sàng để bánTriệu VND,Dự phòng cụ thể cho chứng khoán nợ sản sàng để bánTriệu VND,TổngTriệu VND,numeric__Dự phòng chung cho chứng khoán nợ sản sàng để bánTriệu VND,numeric__Dự phòng cụ thể cho chứng khoán nợ sản sàng để bánTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,32.468,836,33.304,32468.0,836.0,33304.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,3.598,900,4.498,3598.0,900.0,4498.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,36.066,1.736,37.802,36066.0,1736.0,37802.0
