row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2020VND,Tỷ giá ngày > 31/12/2019VND,numeric__Tỷ giá ngày > 31/12/2020VND,numeric__Tỷ giá ngày > 31/12/2019VND
AUD,AUD,AUD,17.822,16.264,17822.0,16264.0
CAD,CAD,CAD,18.165,17.790,18165.0,17790.0
CHF,CHF,CHF,26.198,23.934,26198.0,23934.0
KRW,KRW,KRW,21,,21.0,
EUR,EUR,EUR,28.517,26.079,28517.0,26079.0
GBP,GBP,GBP,31.567,30.456,31567.0,30456.0
HKD,HKD,HKD,2.980,2.976,2980.0,2976.0
JPY,JPY,JPY,225,214,225.0,214.0
SGD,SGD,SGD,17.503,17.225,17503.0,17225.0
THB,THB,THB,769,774,769.0,774.0
USD,USD,USD,23.200,23.175,23200.0,23175.0
XAU,XAU,XAU,5.582.500,4.240.000,5582500.0,4240000.0
