row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcTriệu VND,Máy mócthiết bịTriệu VND,Phương tiệnvận tảiTriệu VND,Thiết bịvăn phòngTriệu VND,Các tài sảncó địnhhữu hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Nhà cửa vàvật kiến trúcTriệu VND,numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận tảiTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Các tài sảncó địnhhữu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.249,276.299,209.164,89.222,10.903,603.837,18249.0,276299.0,209164.0,89222.0,10903.0,603837.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,13.167,8.949,4.831,393,27.340,,13167.0,8949.0,4831.0,393.0,27340.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,66,(141),75,-,,,66.0,-141.0,75.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(603),(400),(103),(1.106),,,-603.0,-400.0,-103.0,-1106.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.249,289.466,217.576,93.512,11.268,630.071,18249.0,289466.0,217576.0,93512.0,11268.0,630071.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.662,155.018,146.395,67.555,8.721,380.351,2662.0,155018.0,146395.0,67555.0,8721.0,380351.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,877,19.355,11.113,7.140,565,39.050,877.0,19355.0,11113.0,7140.0,565.0,39050.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(603),(364),(103),(1.070),,,-603.0,-364.0,-103.0,-1070.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.539,174.373,156.905,74.331,9.183,418.331,3539.0,174373.0,156905.0,74331.0,9183.0,418331.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,15.587,121.281,62.769,21.667,2.182,223.486,15587.0,121281.0,62769.0,21667.0,2182.0,223486.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,14.710,115.093,60.671,19.181,2.085,211.740,14710.0,115093.0,60671.0,19181.0,2085.0,211740.0
