row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúcTriệu VND,Máy móc thiết bịTriệu VND,Phương tiện vận tảiTriệu VND,Thiết bị văn phòngTriệu VND,Các tài sản cố định hữu bình khácTriệu VND,Tổng cộngTriệu VND,numeric__Nhà cửa và vật kiến trúcTriệu VND,numeric__Máy móc thiết bịTriệu VND,numeric__Phương tiện vận tảiTriệu VND,numeric__Thiết bị văn phòngTriệu VND,numeric__Các tài sản cố định hữu bình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.249,289.466,217.576,93.512,11.268,630.071,18249.0,289466.0,217576.0,93512.0,11268.0,630071.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,49.833,59.885,3.613,1.498,114.829,,49833.0,59885.0,3613.0,1498.0,114829.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(122),(238),(1.537),(3.732),-,(5.629),-122.0,-238.0,-1537.0,-3732.0,,-5629.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.127,339.061,275.924,93.393,12.766,739.271,18127.0,339061.0,275924.0,93393.0,12766.0,739271.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.539,174.373,156.905,74.331,9.183,418.331,3539.0,174373.0,156905.0,74331.0,9183.0,418331.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,836,21.058,13.134,7.319,635,42.982,836.0,21058.0,13134.0,7319.0,635.0,42982.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(122),(238),(1.470),(3.708),-,(5.538),-122.0,-238.0,-1470.0,-3708.0,,-5538.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.253,195.193,168.569,77.942,9.818,455.775,4253.0,195193.0,168569.0,77942.0,9818.0,455775.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,14.710,115.093,60.671,19.181,2.085,211.740,14710.0,115093.0,60671.0,19181.0,2085.0,211740.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.874,143.868,107.355,15.451,2.948,283.496,13874.0,143868.0,107355.0,15451.0,2948.0,283496.0
