row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết tín dụng,Công cụ tài chính phái sinh,Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết tín dụng,numeric__Công cụ tài chính phái sinh,numeric__Kinh doanh và đầu tư chứng khoán
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,108.563.097,138.655.944,3.225.588,144.604,34.926.421,108563097.0,138655944.0,3225588.0,144604.0,34926421.0
Nước ngoài,Nước ngoài,Nước ngoài,406.139,9.125,-,-,-,406139.0,9125.0,,,
,,,108.969.236,138.665.069,3.225.588,144.604,34.926.421,108969236.0,138665069.0,3225588.0,144604.0,34926421.0
