row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020 Triệu VND,31/12/2019 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020 Triệu VND,numeric__31/12/2019 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,4,1.012.228,1.290.009,,4.0,1012228.0,1290009.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,3.374.359,3.231.833,,5.0,3374359.0,3231833.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",6,25.741.179,25.399.935,,6.0,25741179.0,25399935.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,25.641.179,24.135.256,,,25641179.0,24135256.0
2,A > 2,2,Cho vay các TCTD khác,,100.000,1.264.679,,,100000.0,1264679.0
IV,A > IV,IV,Chứng khoán kính doanh,7,2.693.849,1.262.704,,7.0,2693849.0,1262704.0
1,A > 1,1,Chứng khoán kính doanh,,2.705.920,1.310.696,,,2705920.0,1310696.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kính doanh,,(12.071),(47.992),,,-12071.0,-47992.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,144.604,33.417,,8.0,144604.0,33417.0
VI,A > VI,VI,Cho vay khách hàng,,107.760.914,97.484.362,,,107760914.0,97484362.0
1,A > 1,1,Cho vay khách hàng,9,108.869.236,98.613.839,,9.0,108869236.0,98613839.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(1.108.322),(1.129.477),,10.0,-1108322.0,-1129477.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,32.180.304,20.654.282,,,32180304.0,20654282.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,11,31.901.137,20.368.222,,11.0,31901137.0,20368222.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,11,319.364,319.364,,11.0,319364.0,319364.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,12,(40.197),(33.304),,12.0,-40197.0,-33304.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,102.912,120.759,,13.0,102912.0,120759.0
4,A > 4,4,Đầu tư dài hạn khác,,131.666,147.848,,,131666.0,147848.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(28.754),(27.089),,,-28754.0,-27089.0
X,A > X,X,"Tài sản cố định (""TSCĐ"")",,862.487,770.572,,,862487.0,770572.0
1,A > 1,1,Tài sản cố định hữu hình,14,283.496,211.740,,14.0,283496.0,211740.0
a,A > a,a,Nguyên giá,,739.271,630.071,,,739271.0,630071.0
b,A > b,b,Hao mòn TSCĐ,,(455.775),(418.331),,,-455775.0,-418331.0
3,A > 3,3,Tài sản cố định vô hình,15,578.991,558.832,,15.0,578991.0,558832.0
a,A > a,a,Nguyên giá,,741.512,696.981,,,741512.0,696981.0
b,A > b,b,Hao mòn TSCĐ,,(162.521),(138.149),,,-162521.0,-138149.0
XI,A > XI,XI,Bất động sản đầu tư,,240.934,241.518,,,240934.0,241518.0
a,A > a,a,Nguyên giá,,249.060,248.295,,,249060.0,248295.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(8.126),(6.777),,,-8126.0,-6777.0
XII,A > XII,XII,Tài sản Có khác,16,6.093.518,6.908.897,,16.0,6093518.0,6908897.0
1,A > 1,1,Các khoản phải thu,,1.282.827,1.134.339,,,1282827.0,1134339.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.598.213,3.380.276,,,2598213.0,3380276.0
4,A > 4,4,Tài sản Có khác,,2.247.143,2.421.265,,,2247143.0,2421265.0
,,,Trong đó: Lợi thế thương mại,,551.843,623.048,,,551843.0,623048.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(34.665),(26.983),,,-34665.0,-26983.0
,,,TỔNG TÀI SẢN,,180.207.288,157.398.288,,,180207288.0,157398288.0
