row_label_raw,row_label_full,Khoản mục > 01/01/2024 > - Tăng vốn trong năm trước > - Lãi/lỗ trong năm trước,Vốn đầu tư của chủ sở hữu > VND > 6.827.674.750.000 > -,Thặng dư vốn cổ phần > VND > (28.358.542) > -,Chênh lệch đánh giá lại tài sản > VND > (1.848.203.592) > -,Quỹ đầu tư phát triển > VND > 321.297.574.437 > -,Lợi nhuận sau thuế chưa phân phối > VND > 990.809.669.882 > 691.318.321.856,Lợi ích của cổ đông không kiểm soát > VND > 17.030.685.254 > (2.110.436.206),Tổng cộng > VND > 8.154.936.117.439 > - > 689.207.885.650,numeric__Vốn đầu tư của chủ sở hữu > VND > 6.827.674.750.000 > -,numeric__Thặng dư vốn cổ phần > VND > (28.358.542) > -,numeric__Chênh lệch đánh giá lại tài sản > VND > (1.848.203.592) > -,numeric__Quỹ đầu tư phát triển > VND > 321.297.574.437 > -,numeric__Lợi nhuận sau thuế chưa phân phối > VND > 990.809.669.882 > 691.318.321.856,numeric__Lợi ích của cổ đông không kiểm soát > VND > 17.030.685.254 > (2.110.436.206),numeric__Tổng cộng > VND > 8.154.936.117.439 > - > 689.207.885.650
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,-,164.384.884.119,(484.424.389.119),-,(320.039.505.000),,,,164384884119.0,-484424389119.0,,-320039505000.0
+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,-,,164.384.884.119,(164.384.884.119),-,-,,,,164384884119.0,-164384884119.0,,
+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,+ Trích quỹ khen thưởng phúc lợi,-,-,-,-,(46.932.515.000),-,(46.932.515.000),,,,,-46932515000.0,,-46932515000.0
+ Chia cổ tức,+ Chia cổ tức,+ Chia cổ tức,-,-,-,-,(273.106.990.000),-,(273.106.990.000),,,,,-273106990000.0,,-273106990000.0
31/12/2024,31/12/2024,31/12/2024,6.827.674.750.000,(28.358.542),(1.848.203.592),485.682.458.556,1.197.703.602.619,14.920.249.048,8.524.104.498.089,6827674750000.0,-28358542.0,-1848203592.0,485682458556.0,1197703602619.0,14920249048.0,8524104498089.0
01/01/2025,01/01/2025,01/01/2025,6.827.674.750.000,(28.358.542),(1.848.203.592),485.682.458.556,1.197.703.602.619,14.920.249.048,8.524.104.498.089,6827674750000.0,-28358542.0,-1848203592.0,485682458556.0,1197703602619.0,14920249048.0,8524104498089.0
- Tăng vốn trong năm nay,- Tăng vốn trong năm nay,- Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
- Lãi trong kỳ này,- Tăng vốn trong năm nay > - Lãi trong kỳ này,- Lãi trong kỳ này,-,-,-,-,654.956.875.967,104.965.654,655.061.841.621,,,,,654956875967.0,104965654.0,655061841621.0
- Phân phối lợi nhuận (*),- Tăng vốn trong năm nay > - Phân phối lợi nhuận (*),- Phân phối lợi nhuận (*),-,-,-,210.878.417.004,(620.773.470.122),-,(409.895.053.118),,,,210878417004.0,-620773470122.0,,-409895053118.0
+ Trích quỹ đầu tư phát triển,- Tăng vốn trong năm nay > + Trích quỹ đầu tư phát triển,+ Trích quỹ đầu tư phát triển,-,-,-,210.878.417.004,(210.878.417.004),-,-,,,,210878417004.0,-210878417004.0,,
"+ Trích quỹ khen thưởng, phúc lợi","- Tăng vốn trong năm nay > + Trích quỹ khen thưởng, phúc lợi","+ Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(68.511.315.618),-,(68.511.315.618),,,,,-68511315618.0,,-68511315618.0
+ Chia cổ tức,- Tăng vốn trong năm nay > + Chia cổ tức,+ Chia cổ tức,-,-,-,-,(341.383.737.500),-,(341.383.737.500),,,,,-341383737500.0,,-341383737500.0
31/12/2025,- Tăng vốn trong năm nay > 31/12/2025,31/12/2025,6.827.674.750.000,(28.358.542),(1.848.203.592),696.560.875.560,1.231.887.008.464,15.025.214.702,8.769.271.286.592,6827674750000.0,-28358542.0,-1848203592.0,696560875560.0,1231887008464.0,15025214702.0,8769271286592.0
