row_label_raw,row_label_full,NỘI DUNG,TRANG,numeric__TRANG
BẢO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BẢO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BẢO CÁO CỦA BAN TỔNG GIÁM ĐỐC,2 - 3,
BẢO CÁO KIỀM TOÁN ĐỘC LẬP,BẢO CÁO KIỀM TOÁN ĐỘC LẬP,BẢO CÁO KIỀM TOÁN ĐỘC LẬP,4 - 5,
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,6 - 9,
BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOÀNH HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOÀNH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOÀNH HỢP NHẤT,10,10.0
BẢO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CÁO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,11 - 12,
THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT,THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT,THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT,13 – 72,
