row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025VND,01/01/2025VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025VND,numeric__01/01/2025VND
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,20,8.769.271.286.592,8.524.104.498.089,400.0,20.0,8769271286592.0,8524104498089.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,8.769.271.286.592,8.524.104.498.089,410.0,,8769271286592.0,8524104498089.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,6.827.674.750.000,6.827.674.750.000,411.0,,6827674750000.0,6827674750000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,6.827.674.750.000,6.827.674.750.000,,,6827674750000.0,6827674750000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,(28.358.542),(28.358.542),412.0,,-28358542.0,-28358542.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,(1.848.203.592),(1.848.203.592),416.0,,-1848203592.0,-1848203592.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,696.560.875.560,485.682.458.556,418.0,,696560875560.0,485682458556.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.231.887.008.464,1.197.703.602.619,421.0,,1231887008464.0,1197703602619.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,576.930.132.497,506.385.280.763,,,576930132497.0,506385280763.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,654.956.875.967,691.318.321.856,,,654956875967.0,691318321856.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,15.025.214.702,14.920.249.048,429.0,,15025214702.0,14920249048.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,15.337.038.378.792,15.531.079.056.956,440.0,,15337038378792.0,15531079056956.0
