row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,6.567.767.092.200,7.006.974.558.867,300.0,,6567767092200.0,7006974558867.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,5.030.429.750.642,5.972.835.994.986,310.0,,5030429750642.0,5972835994986.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,15,2.778.144.015.469,2.716.419.300.088,311.0,15.0,2778144015469.0,2716419300088.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,762.783.212,3.553.541.453,312.0,,762783212.0,3553541453.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,16,75.341.363.018,36.697.410.239,313.0,16.0,75341363018.0,36697410239.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,84.644.716.599,127.042.107.729,314.0,,84644716599.0,127042107729.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,17,89.628.803.245,51.429.307.124,315.0,17.0,89628803245.0,51429307124.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,18,26.269.309.780,34.174.998.918,319.0,18.0,26269309780.0,34174998918.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,19,1.914.306.836.184,2.961.884.095.863,320.0,19.0,1914306836184.0,2961884095863.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,61.331.923.135,41.635.233.572,322.0,,61331923135.0,41635233572.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,1.537.337.341.558,1.034.138.563.881,330.0,,1537337341558.0,1034138563881.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,15,426.055.775.214,412.713.770.045,331.0,15.0,426055775214.0,412713770045.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,18,-,227.059.200,337.0,18.0,,227059200.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,19,1.100.565.143.752,619.929.118.495,338.0,19.0,1100565143752.0,619929118495.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,,1.102.653.493,1.268.616.141,341.0,,1102653493.0,1268616141.0
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,9.613.769.099,-,343.0,,9613769099.0,
