row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,22,12.754.776.082.592,12.839.301.284.671,1.0,22.0,12754776082592.0,12839301284671.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,,12.754.776.082.592,12.839.301.284.671,10.0,,12754776082592.0,12839301284671.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,23,11.617.440.174.228,11.611.330.946.505,11.0,23.0,11617440174228.0,11611330946505.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.137.335.908.364,1.227.970.338.166,20.0,,1137335908364.0,1227970338166.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,24,199.990.043.255,227.943.014.945,21.0,24.0,199990043255.0,227943014945.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,25,183.200.092.833,315.466.421.080,22.0,25.0,183200092833.0,315466421080.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,155.917.724.245,219.998.428.909,23.0,,155917724245.0,219998428909.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,24.0,,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,26,93.443.343,420.932.768,25.0,26.0,93443343.0,420932768.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,26,447.056.615.731,394.732.190.521,26.0,26.0,447056615731.0,394732190521.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,706.975.799.712,745.293.808.742,30.0,,706975799712.0,745293808742.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,27,9.236.978.890,22.295.256.031,31.0,27.0,9236978890.0,22295256031.0
Chi phí khác,Chi phí khác,Chi phí khác,32,28,3.306.139.324,16.927.158.354,32.0,28.0,3306139324.0,16927158354.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,5.930.839.566,5.368.097.677,40.0,,5930839566.0,5368097677.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,712.906.639.278,750.661.906.419,50.0,,712906639278.0,750661906419.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,30,58.010.760.305,60.185.404.628,51.0,30.0,58010760305.0,60185404628.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,(165.962.648),1.268.616.141,52.0,,-165962648.0,1268616141.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,655.061.841.621,689.207.885.650,60.0,,655061841621.0,689207885650.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,,654.956.875.967,691.318.321.856,61.0,,654956875967.0,691318321856.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,104.965.654,(2.110.436.206),62.0,,104965654.0,-2110436206.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,31,959,912,70.0,31.0,959.0,912.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,31,959,912,71.0,31.0,959.0,912.0
