row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,"Phương tiện vận tải, truyền dẫn VND",Thiết bị dụng cụ quản lý VND,TSCĐ HH khác VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,"numeric__Phương tiện vận tải, truyền dẫn VND",numeric__Thiết bị dụng cụ quản lý VND,numeric__TSCĐ HH khác VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,8.914.041.725.248,24.590.559.610.259,532.504.911.205,58.605.742.238,25.535.026.088,34.121.247.015.038,8914041725248.0,24590559610259.0,532504911205.0,58605742238.0,25535026088.0,34121247015038.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,6.252.236.364,389.722.223,-,6.641.958.587,,,6252236364.0,389722223.0,,6641958587.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,28.863.580.003,118.486.612.171,17.358.462.930,4.926.277.079,1.540.111.752,171.175.043.935,28863580003.0,118486612171.0,17358462930.0,4926277079.0,1540111752.0,171175043935.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,2.113.451,-,-,2.279.883,-,4.393.334,2113451.0,,,2279883.0,,4393334.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(4.918.853.612),(79.510.087.422),(37.252.802.155),(53.254.545),-,(121.734.997.734),-4918853612.0,-79510087422.0,-37252802155.0,-53254545.0,,-121734997734.0
- Phá dỡ tài sản cố định,NGUYÊN GIÁ > - Phá dỡ tài sản cố định,- Phá dỡ tài sản cố định,(198.470.909),-,-,-,-,(198.470.909),-198470909.0,,,,,-198470909.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,767.810.039,(767.810.039),-,-,-,-,767810039.0,-767810039.0,,,,
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,8.938.557.904.220,24.628.768.324.969,518.862.808.344,63.870.766.878,27.075.137.840,34.177.134.942.251,8938557904220.0,24628768324969.0,518862808344.0,63870766878.0,27075137840.0,34177134942251.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,,,
01/01/2025,HAO MÔN LỦY KẾ > 01/01/2025,01/01/2025,(4.649.840.798.602),(20.658.892.148.627),(480.277.620.065),(36.322.796.192),(24.398.644.789),(25.849.732.008.275),-4649840798602.0,-20658892148627.0,-480277620065.0,-36322796192.0,-24398644789.0,-25849732008275.0
- Khấu hao trong năm,HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(271.814.189.354),(998.223.670.403),(12.525.910.704),(6.275.395.422),(414.659.790),(1.289.253.825.673),-271814189354.0,-998223670403.0,-12525910704.0,-6275395422.0,-414659790.0,-1289253825673.0
- Hao mòn trong năm,HAO MÔN LỦY KẾ > - Hao mòn trong năm,- Hao mòn trong năm,(2.823.357.455),-,-,-,(37.100.160),(2.860.457.615),-2823357455.0,,,,-37100160.0,-2860457615.0
"- Thanh lý, nhượng bán","HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",4.918.853.612,79.510.087.422,37.252.802.155,53.254.545,-,121.734.997.734,4918853612.0,79510087422.0,37252802155.0,53254545.0,,121734997734.0
- Phá dỡ tài sản cố định,HAO MÔN LỦY KẾ > - Phá dỡ tài sản cố định,- Phá dỡ tài sản cố định,198.470.909,-,-,-,-,198.470.909,198470909.0,,,,,198470909.0
31/12/2025,HAO MÔN LỦY KẾ > 31/12/2025,31/12/2025,(4.919.361.020.890),(21.577.605.731.608),(455.550.728.614),(42.544.937.069),(24.850.404.739),(27.019.912.822.920),-4919361020890.0,-21577605731608.0,-455550728614.0,-42544937069.0,-24850404739.0,-27019912822920.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,4.264.200.926.646,3.931.667.461.632,52.227.291.140,22.282.946.046,1.136.381.299,8.271.515.006.763,4264200926646.0,3931667461632.0,52227291140.0,22282946046.0,1136381299.0,8271515006763.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,4.019.196.883.330,3.051.162.593.361,63.312.079.730,21.325.829.809,2.224.733.101,7.157.222.119.331,4019196883330.0,3051162593361.0,63312079730.0,21325829809.0,2224733101.0,7157222119331.0
