row_label_raw,row_label_full,Nội dung,01/01/2025 > Giá trịVND,01/01/2025 > Số có khả năngtrả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,31/12/2025 > Giá trịVND,31/12/2025 > Số có khả năngtrả nợVND,numeric__01/01/2025 > Giá trịVND,numeric__01/01/2025 > Số có khả năngtrả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__31/12/2025 > Giá trịVND,numeric__31/12/2025 > Số có khả năngtrả nợVND
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,619.929.118.495,619.929.118.495,1.233.615.173.792,752.979.148.535,1.100.565.143.752,1.100.565.143.752,619929118495.0,619929118495.0,1233615173792.0,752979148535.0,1100565143752.0,1100565143752.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,619.929.118.495,619.929.118.495,1.233.615.173.792,752.979.148.535,1.100.565.143.752,1.100.565.143.752,619929118495.0,619929118495.0,1233615173792.0,752979148535.0,1100565143752.0,1100565143752.0
- Ngân hàng TMCP Quốc tế Việt Nam (9),- Ngân hàng TMCP Quốc tế Việt Nam (9),- Ngân hàng TMCP Quốc tế Việt Nam (9),-,-,400.000.000.000,260.000.000.000,140.000.000.000,140.000.000.000,,,400000000000.0,260000000000.0,140000000000.0,140000000000.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (10),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (10),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (10),98.166.587.913,98.166.587.913,86.730.960.932,41.128.123.905,143.769.424.940,143.769.424.940,98166587913.0,98166587913.0,86730960932.0,41128123905.0,143769424940.0,143769424940.0
- Ngân hàng TMCP Ngoại thương Việt Nam (12),- Ngân hàng TMCP Ngoại thương Việt Nam (12),- Ngân hàng TMCP Ngoại thương Việt Nam (12),265.000.000,265.000.000,704.413.774.860,265.000.000,704.413.774.860,704.413.774.860,265000000.0,265000000.0,704413774860.0,265000000.0,704413774860.0,704413774860.0
- Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam (8),- Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam (8),- Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam (8),223.520.148.000,223.520.148.000,9.347.238.000,232.867.386.000,-,-,223520148000.0,223520148000.0,9347238000.0,232867386000.0,,
- Ngân hàng TMCP Tiến Phong (11),- Ngân hàng TMCP Tiến Phong (11),- Ngân hàng TMCP Tiến Phong (11),291.452.382.582,291.452.382.582,19.500.000.000,214.973.838.630,95.978.543.952,95.978.543.952,291452382582.0,291452382582.0,19500000000.0,214973838630.0,95978543952.0,95978543952.0
- Ngân hàng TMCP Công Thương Việt Nam (13),- Ngân hàng TMCP Công Thương Việt Nam (13),- Ngân hàng TMCP Công Thương Việt Nam (13),-,-,6.898.200.000,2.844.800.000,4.053.400.000,4.053.400.000,,,6898200000.0,2844800000.0,4053400000.0,4053400000.0
"- Cán bộ, công nhân viên (14)","- Cán bộ, công nhân viên (14)","- Cán bộ, công nhân viên (14)",6.525.000.000,6.525.000.000,6.725.000.000,900.000.000,12.350.000.000,12.350.000.000,6525000000.0,6525000000.0,6725000000.0,900000000.0,12350000000.0,12350000000.0
Cộng,Cộng,Cộng,3.581.813.214.358,3.581.813.214.358,11.011.042.473.891,11.577.983.708.313,3.014.871.979.936,3.014.871.979.936,3581813214358.0,3581813214358.0,11011042473891.0,11577983708313.0,3014871979936.0,3014871979936.0
