row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Chương trìnhphần mềmVND,TSCĐvô hình khácVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Chương trìnhphần mềmVND,numeric__TSCĐvô hình khácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,63.385.813.870,9.429.748.811,2.695.514.280,75.511.076.961,63385813870.0,9429748811.0,2695514280.0,75511076961.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,-,123.920.000,(123.920.000),-,,123920000.0,-123920000.0,
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,63.385.813.870,9.553.668.811,2.571.594.280,75.511.076.961,63385813870.0,9553668811.0,2571594280.0,75511076961.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
01/01/2025,GIÁ TRỊ HAO MÒN > 01/01/2025,01/01/2025,(8.603.863.459),(8.673.398.697),(2.589.915.784),(19.867.177.940),-8603863459.0,-8673398697.0,-2589915784.0,-19867177940.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,(1.437.684.962),(293.239.992),-,(1.730.924.954),-1437684962.0,-293239992.0,,-1730924954.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,(18.017.880),-,-,(18.017.880),-18017880.0,,,-18017880.0
- Phân loại lại,GIÁ TRỊ HAO MÒN > - Phân loại lại,- Phân loại lại,-,(18.321.504),18.321.504,-,,-18321504.0,18321504.0,
31/12/2025,GIÁ TRỊ HAO MÒN > 31/12/2025,31/12/2025,(10.059.566.301),(8.984.960.193),(2.571.594.280),(21.616.120.774),-10059566301.0,-8984960193.0,-2571594280.0,-21616120774.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,54.781.950.411,756.350.114,105.598.496,55.643.899.021,54781950411.0,756350114.0,105598496.0,55643899021.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,53.326.247.569,568.708.618,-,53.894.956.187,53326247569.0,568708618.0,,53894956187.0
