row_label_raw,row_label_full,Loại tài sản,Thời gian sử dụng (năm),numeric__Thời gian sử dụng (năm)
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,43 - 45,
- Chương trình phần mềm,- Chương trình phần mềm,- Chương trình phần mềm,02 - 03,
- Các tài sản khác,- Chương trình phần mềm > - Các tài sản khác,- Các tài sản khác,08,8.0
