row_label_raw,row_label_full,STT,Tên Công ty,Mối quan hệ,numeric__Tên Công ty,numeric__Mối quan hệ
1,1,1,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam (“TKV”),Công ty mẹ,,
2,2,2,Các công ty con của TKV,Chịu sự kiểm soát chung,,
3,3,3,Các công ty liên kết của TKV,Chịu sự ảnh hưởng đáng kể chung,,
