row_label_raw,row_label_full,Năm 2024 > Chỉ tiêu,Năm 2024 > ĐiệnVND,Năm 2024 > ThanVND,Năm 2024 > Các hoạt độngkhácVND,Năm 2024 > Tổng cộng toànTổng công tyVND,numeric__Năm 2024 > ĐiệnVND,numeric__Năm 2024 > ThanVND,numeric__Năm 2024 > Các hoạt độngkhácVND,numeric__Năm 2024 > Tổng cộng toànTổng công tyVND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,,
Doanh thu bán hàng và cung cấp dịch vụ,KẾT QUẢ KINH DOANH > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,12.548.788.301.513,157.970.986.678,132.541.996.480,12.839.301.284.671,12548788301513.0,157970986678.0,132541996480.0,12839301284671.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,,,,,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu > Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,12.548.788.301.513,157.970.986.678,132.541.996.480,12.839.301.284.671,12548788301513.0,157970986678.0,132541996480.0,12839301284671.0
Giá vốn hàng bán,Các khoản giảm trừ doanh thu > Giá vốn hàng bán,Giá vốn hàng bán,11.393.603.595.106,101.329.252.891,116.398.098.508,11.611.330.946.505,11393603595106.0,101329252891.0,116398098508.0,11611330946505.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu > Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1.155.184.706.407,56.641.733.787,16.143.897.972,1.227.970.338.166,1155184706407.0,56641733787.0,16143897972.0,1227970338166.0
Chi phí bán hàng,Các khoản giảm trừ doanh thu > Chi phí bán hàng,Chi phí bán hàng,,420.932.768,,420.932.768,,420932768.0,,420932768.0
Chi phí quản lý doanh nghiệp,Các khoản giảm trừ doanh thu > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,394.732.190.521,,,,394732190521.0
"Lãi/lỗ từ hoạt động sản xuất, kinh doanh","Các khoản giảm trừ doanh thu > Lãi/lỗ từ hoạt động sản xuất, kinh doanh","Lãi/lỗ từ hoạt động sản xuất, kinh doanh",,,,832.817.214.877,,,,832817214877.0
Lãi/lỗ từ hoạt động tài chính,Các khoản giảm trừ doanh thu > Lãi/lỗ từ hoạt động tài chính,Lãi/lỗ từ hoạt động tài chính,,,,(87.523.406.135),,,,-87523406135.0
Lãi/lỗ khác,Các khoản giảm trừ doanh thu > Lãi/lỗ khác,Lãi/lỗ khác,,,,5.368.097.677,,,,5368097677.0
Lợi nhuận trước thuế,Các khoản giảm trừ doanh thu > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,750.661.906.419,,,,750661906419.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tổng chi phí đã phát sinh để mua TSCĐ,TÀI SẢN > Tổng chi phí đã phát sinh để mua TSCĐ,Tổng chi phí đã phát sinh để mua TSCĐ,162.921.396.065,,,162.921.396.065,162921396065.0,,,162921396065.0
Tài sản bộ phận,TÀI SẢN > Tài sản bộ phận,Tài sản bộ phận,12.996.099.316.767,69.453.182.713,39.687.318.221,13.105.239.817.701,12996099316767.0,69453182713.0,39687318221.0,13105239817701.0
Tài sản không phân bổ,TÀI SẢN > Tài sản không phân bổ,Tài sản không phân bổ,,,,2.425.839.239.255,,,,2425839239255.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,12.996.099.316.767,69.453.182.713,39.687.318.221,15.531.079.056.956,12996099316767.0,69453182713.0,39687318221.0,15531079056956.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,
Nợ phải trả của các bộ phận,NỘ PHẢI TRẢ > Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,6.778.508.162.001,123.418.635.567,7.422.390.021,6.909.349.187.589,6778508162001.0,123418635567.0,7422390021.0,6909349187589.0
Nợ phải trả không phân bổ,NỘ PHẢI TRẢ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,97.625.371.278,,,,97625371278.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,6.778.508.162.001,123.418.635.567,7.422.390.021,7.006.974.558.867,6778508162001.0,123418635567.0,7422390021.0,7006974558867.0
