row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bắt động sản VND,Nông nghiệp VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bắt động sản VND,numeric__Nông nghiệp VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2017 > Tải sản của bộ phận,Tải sản của bộ phận,44.403.369.552.427,2.555.647.245.732,2.785.382.198.731,4.408.505.978.925,1.813.783.095.673,(2.944.503.293.237),53.022.184.778.251,44403369552427.0,2555647245732.0,2785382198731.0,4408505978925.0,1813783095673.0,-2944503293237.0,53022184778251.0
Khoản đầu tư vào các công ty con,Tại ngày 31 tháng 12 năm 2017 > Khoản đầu tư vào các công ty con,Khoản đầu tư vào các công ty con,-,-,-,-,26.045.704.800.000,(26.045.704.800.000),-,,,,,26045704800000.0,-26045704800000.0,
Tổng tài sản,Tại ngày 31 tháng 12 năm 2017 > Tổng tài sản,Tổng tài sản,44.403.369.552.427,2.555.647.245.732,2.785.382.198.731,4.408.505.978.925,27.859.487.895.673,(28.990.208.093.237),53.022.184.778.251,44403369552427.0,2555647245732.0,2785382198731.0,4408505978925.0,27859487895673.0,-28990208093237.0,53022184778251.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2017 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,17.761.089.461.708,1.467.103.202.705,1.949.607.320.284,1.386.548.425.570,529.208.815.969,(2.468.952.659.895),20.624.604.566.341,17761089461708.0,1467103202705.0,1949607320284.0,1386548425570.0,529208815969.0,-2468952659895.0,20624604566341.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2017 > Tổng nợ phải trả,Tổng nợ phải trả,17.761.089.461.708,1.467.103.202.705,1.949.607.320.284,1.386.548.425.570,529.208.815.969,(2.468.952.659.895),20.624.604.566.341,17761089461708.0,1467103202705.0,1949607320284.0,1386548425570.0,529208815969.0,-2468952659895.0,20624604566341.0
Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Chi tiêu vốn,Chi tiêu vốn,4.624.467.617.773,270.481.526.191,9.347.796.773,1.414.588.301.045,26.343.229.059,(97.427.109.373),6.247.801.361.468,4624467617773.0,270481526191.0,9347796773.0,1414588301045.0,26343229059.0,-97427109373.0,6247801361468.0
Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,1.659.135.850.096,144.147.325.793,25.663.704.357,127.032.275.762,7.761.232.399,3.395.416.014,1.967.135.804.421,1659135850096.0,144147325793.0,25663704357.0,127032275762.0,7761232399.0,3395416014.0,1967135804421.0
Khấu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,3.121.944.878,2.445.175.440,5.658.602,755.789.896,226.046.035,(12.212.231),6.542.402.620,3121944878.0,2445175440.0,5658602.0,755789896.0,226046035.0,-12212231.0,6542402620.0
Phân bổ chi phí trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Phân bổ chi phí trả trước dài hạn,Phân bổ chi phí trả trước dài hạn,137.671.773.822,13.446.937.991,2.068.735.436,36.602.144.283,1.424.146.787,(808.665.757),190.405.072.562,137671773822.0,13446937991.0,2068735436.0,36602144283.0,1424146787.0,-808665757.0,190405072562.0
