row_label_raw,row_label_full,col_0,Giá trị ghi sổ và giá trị hợp lý tại thời điểm mua VND,numeric__Giá trị ghi sổ và giá trị hợp lý tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,19.106.588.393,19106588393.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,361.210.795,361210795.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,40.336.054.000,40336054000.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,59.803.853.188,59803853188.0
Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,Lợi ích của Tập đoàn trong giá trị tài sản thuần của công ty con tại ngày mua,59.744.049.335,59744049335.0
Lợi thế thương mại phát sinh từ việc mua công ty con,Lợi thế thương mại phát sinh từ việc mua công ty con,Lợi thế thương mại phát sinh từ việc mua công ty con,195.950.665,195950665.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,59.940.000.000,59940000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(19.106.588.393),-19106588393.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,40.833.411.607,40833411607.0
