row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2017,1/1/2017,31/12/2017,1/1/2017,,,,,,
17,STT > 17,17,Công ty TNHH Quản lý Khai thác Khu công nghiệp Hòa Mạc,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước.",100%,100%,"99,67%","99,67%",,,1.0,1.0,0.9967,0.9967
18,STT > 18,18,Công ty TNHH MTV Xây dựng và Phát triển đô thị Hòa Phát Hưng Yên (ii),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",100%,-,"99,67%",-,,,1.0,,0.9967,
19,STT > 19,19,Công ty CP Golden Gain Việt Nam (iii),Kinh doanh bất động sản.,"99,99%",-,"99,66%",-,,,0.9998999999999999,,0.9965999999999999,
,,,Công ty con của Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty con của Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty con của Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty con của Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty con của Công ty CP Phát triển Nông nghiệp Hòa Phát,Công ty con của Công ty CP Phát triển Nông nghiệp Hòa Phát,,,,,,
20,STT > 20,20,Công ty TNHH Thương mại Hòa Phát,"Chăn nuôi trâu, bò; hoạt động dịch vụ trồng trọt, chăn nuôi và sau thu hoạch.","99,90%","99,90%","99,899%","99,899%",,,0.9990000000000001,0.9990000000000001,0.99899,0.99899
21,STT > 21,21,Công ty CP Phát triển Chăn nuôi Hòa Phát,"Chăn nuôi, cung cấp heo giống, heo thịt.","99,975%","99,95%","99,974%","99,949%",,,0.9997499999999999,0.9995,0.9997400000000001,0.99949
22,STT > 22,22,Công ty TNHH MTV Thương mại và Sản xuất thức ăn Chăn nuôi Hòa Phát,"Sản xuất, buôn bán thức ăn và nguyên liệu làm thức ăn gia súc, gia cầm và thủy sản.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
23,STT > 23,23,Công ty TNHH MTV Thức ăn Chăn nuôi Hòa Phát Đồng Nai,"Sản xuất và chế biến thức ăn gia súc, gia cầm và thủy sản.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
24,STT > 24,24,Công ty TNHH Chăn nuôi Hòa Phước (v),Chăn nuôi heo giống và heo thịt.,-,"99,997%",-,"99,996%",,,,0.99997,,0.99996
25,STT > 25,25,Công ty TNHH MTV Gia cầm Hòa Phát,Chăn nuôi gia cầm,100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
26,STT > 26,26,Công ty TNHH MTV Chăn nuôi Hòa Phát Đà Nẵng,"Chăn nuôi gia súc gia cầm, hoạt động dịch vụ trồng trọt.",100%,100%,"99,999%","99,999%",,,1.0,1.0,0.9999899999999999,0.9999899999999999
