row_label_raw,row_label_full,STT,Công ty con cấp 2,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 1_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 2,Hoạt động chính,31/12/2017,1/1/2017,31/12/2017,1/1/2017,,,,,,
,,,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,,,,,,
9,STT > 9,9,Công ty TNHH Thép Cán người Hòa Phát,Sản xuất sản phẩm thép cán người.,100%,100%,"99,95%","99,94%",,,1.0,1.0,0.9995,0.9994
10,STT > 10,10,Công ty TNHH MTV Ông thép Hòa Phát Bình Dương,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,"99,95%","99,94%",,,1.0,1.0,0.9995,0.9994
11,STT > 11,11,Công ty TNHH Ông thép Hòa Phát Đà Nẵng,Sản xuất và kinh doanh thương mại ống thép.,"99,98%","99,98%","99,93%","99,92%",,,0.9998,0.9998,0.9993000000000001,0.9992
12,STT > 12,12,Công ty TNHH MTV Ông thép Hòa Phát Long An,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,"99,95%","99,94%",,,1.0,1.0,0.9995,0.9994
,,,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,Công ty con của Công ty TNHH Thiết bị Phụ tùng Hòa Phát,,,,,,
13,STT > 13,13,Công ty TNHH Chế tạo Máy xây dựng và Khai thác mỏ Hòa Phát,"Sản xuất, kinh doanh các loại máy xây dựng và khai thác mỏ; sản xuất động cơ, tua bin.",100%,100%,"99,72%","99,72%",,,1.0,1.0,0.9972,0.9972
14,STT > 14,14,Công ty TNHH Chế tạo Cơ khí Hòa Phát,"Sửa chữa và sản xuất các sản phẩm cơ khí; dịch vụ cho thuê máy móc, thiết bị, phương tiện.","99,90%","99,90%","99,62%","99,62%",,,0.9990000000000001,0.9990000000000001,0.9962000000000001,0.9962000000000001
15,STT > 15,15,Công ty TNHH MTV Thép dự ứng lực Hòa Phát,"Sản xuất sắt, thép, gang.",100%,-,"99,72%",-,,,1.0,,0.9972,
,,,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,Công ty con của Công ty CP Xây dựng và Phát triển Đô thị Hòa Phát,,,,,,
16,STT > 16,16,Công ty Quản lý Khai thác Khu công nghiệp Phó Nói A,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc đi thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước và nhà hàng.",100%,100%,"99,67%","99,67%",,,1.0,1.0,0.9967,0.9967
