row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2017 > Giá trị ghi số Triệu VND > 9.936.707 > 1.252,31/12/2017 > Giá trị hợp lý Triệu VND > 9.936.707 > (*),1/1/2017 > Giá trị ghi số Triệu VND > 693.499 > 59.891,1/1/2017 > Giá trị hợp lý Triệu VND > 693.499 > (*),numeric__31/12/2017 > Giá trị ghi số Triệu VND > 9.936.707 > 1.252,numeric__31/12/2017 > Giá trị hợp lý Triệu VND > 9.936.707 > (*),numeric__1/1/2017 > Giá trị ghi số Triệu VND > 693.499 > 59.891,numeric__1/1/2017 > Giá trị hợp lý Triệu VND > 693.499 > (*)
Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền và các khoản tương đương tiền,Được phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,4.264.642,4.264.642,4.558.661,4.558.661,4264642.0,4264642.0,4558661.0,4558661.0
- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,Được phân loại là các khoản cho vay và phải thu: > - Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,- Phải thu ngắn hạn của khách hàng và phải thu ngắn hạn khác,2.546.754,2.546.754,1.680.616,1.680.050,2546754.0,2546754.0,1680616.0,1680050.0
- Phải thu về cho vay dài hạn và phải thu dài hạn khác,Được phân loại là các khoản cho vay và phải thu: > - Phải thu về cho vay dài hạn và phải thu dài hạn khác,- Phải thu về cho vay dài hạn và phải thu dài hạn khác,21.811,(*),18.173,(*),21811.0,,18173.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,15.700,(*),18.974,(*),15700.0,,18974.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,,,,,
- Phải trả người bán và phải trả khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán và phải trả khác,- Phải trả người bán và phải trả khác,(4.957.325),(4.957.325),(3.992.949),(3.992.949),-4957325.0,-4957325.0,-3992949.0,-3992949.0
- Chi phí phải trả dài hạn và phải trả dài hạn khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Chi phí phải trả dài hạn và phải trả dài hạn khác,- Chi phí phải trả dài hạn và phải trả dài hạn khác,(9.011),(*),(11.460),(*),-9011.0,,-11460.0,
- Các khoản vay,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(12.980.013),(12.931.447),(6.460.371),(6.428.839),-12980013.0,-12931447.0,-6460371.0,-6428839.0
,,,(1.159.483),,(3.434.966),,-1159483.0,,-3434966.0,
