row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Nông nghiệp VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Nông nghiệp VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,39.737.649.059.975,2.768.232.079.356,760.366.216.592,2.895.444.258.381,-,-,46.161.691.614.304,39737649059975.0,2768232079356.0,760366216592.0,2895444258381.0,,,46161691614304.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,22.953.408.232.368,997.642.231.567,106.155.936.742,177.629.309.137,78.390.832.436,(24.313.226.542.250),-,22953408232368.0,997642231567.0,106155936742.0,177629309137.0,78390832436.0,-24313226542250.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,62.691.057.292.343,3.765.874.310.923,866.522.153.334,3.073.073.567.518,78.390.832.436,(24.313.226.542.250),46.161.691.614.304,62691057292343.0,3765874310923.0,866522153334.0,3073073567518.0,78390832436.0,-24313226542250.0,46161691614304.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,8.477.303.702.361,521.200.069.346,304.118.036.659,55.548.990.583,8.675.848.220.515,(8.781.894.738.896),9.252.124.280.568,8477303702361.0,521200069346.0,304118036659.0,55548990583.0,8675848220515.0,-8781894738896.0,9252124280568.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Thu nhập khác,Thu nhập khác,412.282.284.865,5.860.242.421,14.022.071.000,2.567.784.231,6.123.361.147,(8.063.931.835),432.791.811.829,412282284865.0,5860242421.0,14022071000.0,2567784231.0,6123361147.0,-8063931835.0,432791811829.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Chi phí khác,Chi phí khác,(381.960.031.829),(2.806.112.923),(8.982.359.795),(3.292.630.460),(377.389.359),872.174.666,(396.546.349.700),-381960031829.0,-2806112923.0,-8982359795.0,-3292630460.0,-377389359.0,872174666.0,-396546349700.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.152.974.118.694),(82.889.545.511),(74.378.134.791),(7.386.986.039),-,-,(1.317.628.785.035),-1152974118694.0,-82889545511.0,-74378134791.0,-7386986039.0,,,-1317628785035.0
Lợi ích/(chi phí) thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Lợi ích/(chi phí) thuế thu nhập hoãn lại,Lợi ích/(chi phí) thuế thu nhập hoãn lại,8.970.727.763,(445.169.714),18.083.265.052,(366.828),-,17.407.172.113,44.015.628.386,8970727763.0,-445169714.0,18083265052.0,-366828.0,,17407172113.0,44015628386.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,7.363.622.564.466,440.919.483.619,252.862.878.125,47.436.791.487,8.681.594.192.303,(8.771.679.323.952),8.014.756.586.048,7363622564466.0,440919483619.0,252862878125.0,47436791487.0,8681594192303.0,-8771679323952.0,8014756586048.0
