row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,206.055.346.072,8.414.461.450,1.500.909.664,215.970.717.186,206055346072.0,8414461450.0,1500909664.0,215970717186.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,7.181.111.615,-,7.181.111.615,,7181111615.0,,7181111615.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,1.401.135.096,-,1.401.135.096,,1401135096.0,,1401135096.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,-,(33.600.000),-,(33.600.000),,-33600000.0,,-33600000.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,,874.000.000,-,874.000.000,,874000000.0,,874000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,206.055.346.072,17.837.108.161,1.500.909.664,225.393.363.897,206055346072.0,17837108161.0,1500909664.0,225393363897.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.235.470.341,3.585.653.366,1.500.909.664,33.322.033.371,28235470341.0,3585653366.0,1500909664.0,33322033371.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.490.765.176,3.051.637.444,-,6.542.402.620,3490765176.0,3051637444.0,,6542402620.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,-,(33.600.000),-,(33.600.000),,-33600000.0,,-33600000.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,,24.966.667,-,24.966.667,,24966667.0,,24966667.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,31.726.235.517,6.628.657.477,1.500.909.664,39.855.802.658,31726235517.0,6628657477.0,1500909664.0,39855802658.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,177.819.875.731,4.828.808.084,-,182.648.683.815,177819875731.0,4828808084.0,,182648683815.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,174.329.110.555,11.208.450.684,-,185.537.561.239,174329110555.0,11208450684.0,,185537561239.0
