row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.729.403.748.780,14.459.209.538.114,603.162.416.841,35.407.565.665,27.730.285.569,295.918.853,18.855.209.473.822,3729403748780.0,14459209538114.0,603162416841.0,35407565665.0,27730285569.0,295918853.0,18855209473822.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,62.368.691.186,77.786.750.643,78.735.597.266,13.011.655.334,234.516.688,494.121.255,232.631.332.372,62368691186.0,77786750643.0,78735597266.0,13011655334.0,234516688.0,494121255.0,232631332372.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.153.436.917.775,817.312.183.170,110.946.909.230,2.264.227.095,178.105.687.383,731.312.337,2.262.797.236.990,1153436917775.0,817312183170.0,110946909230.0,2264227095.0,178105687383.0,731312337.0,2262797236990.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(4.052.083.329),-,-,-,-,(4.052.083.329),,-4052083329.0,,,,,-4052083329.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(6.316.387.522),(80.083.198.914),(11.738.497.825),(248.342.325),-,-,(98.386.426.586),-6316387522.0,-80083198914.0,-11738497825.0,-248342325.0,,,-98386426586.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(69.424.131.068),66.861.203.066,2.256.237.823,306.690.179,(2.974.520.778),2.974.520.778,-,-69424131068.0,66861203066.0,2256237823.0,306690179.0,-2974520778.0,2974520778.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(2.552.521.347),(125.373.991),(994.910.719),-,-,-,(3.672.806.057),-2552521347.0,-125373991.0,-994910719.0,,,,-3672806057.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.866.916.317.804,15.336.909.018.759,782.367.752.616,50.741.795.948,203.095.968.862,4.495.873.223,21.244.526.727.212,4866916317804.0,15336909018759.0,782367752616.0,50741795948.0,203095968862.0,4495873223.0,21244526727212.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.101.511.575.699,5.004.177.319.997,237.733.888.161,23.238.810.947,440.770.542,295.918.853,6.367.398.284.199,1101511575699.0,5004177319997.0,237733888161.0,23238810947.0,440770542.0,295918853.0,6367398284199.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,302.300.059.960,1.517.002.563.732,97.579.504.841,5.871.477.951,31.898.192.178,405.149.832,1.955.056.948.494,302300059960.0,1517002563732.0,97579504841.0,5871477951.0,31898192178.0,405149832.0,1955056948494.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(2.710.566.062),-,-,-,-,(2.710.566.062),,-2710566062.0,,,,,-2710566062.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(2.555.342.419),(75.287.223.269),(9.422.856.374),(138.782.325),-,-,(87.404.204.387),-2555342419.0,-75287223269.0,-9422856374.0,-138782325.0,,,-87404204387.0
