row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2017Triệu VND,Giá trị ghi sổ > 1/1/2017Triệu VND,numeric__Giá trị ghi sổ > 31/12/2017Triệu VND,numeric__Giá trị ghi sổ > 1/1/2017Triệu VND
Các công cụ tài chính chịu lãi suất cố định,Các công cụ tài chính chịu lãi suất cố định,Các công cụ tài chính chịu lãi suất cố định,Các công cụ tài chính chịu lãi suất cố định,Các công cụ tài chính chịu lãi suất cố định,,
Tài sản tài chính,Các công cụ tài chính chịu lãi suất cố định > Tài sản tài chính,Tài sản tài chính,13.438.204,4.755.127,13438204.0,4755127.0
Nợ phải trả tài chính,Các công cụ tài chính chịu lãi suất cố định > Nợ phải trả tài chính,Nợ phải trả tài chính,(12.980.013),(6.460.371),-12980013.0,-6460371.0
,,,458.191,(1.705.244),458191.0,-1705244.0
