row_label_raw,row_label_full,col_0,Công ty CP Năng lượng Hòa Phát VND,Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình VND,Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,Tổng cộng VND,numeric__Công ty CP Năng lượng Hòa Phát VND,numeric__Công ty TNHH MTV Chăn nuôi Hòa Phát Hòa Bình VND,numeric__Công ty TNHH Thương mại Dịch vụ Nhơn Trạch VND,numeric__Tổng cộng VND
Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,Giá gốc,,,,
Số dư đầu năm,Giá gốc > Số dư đầu năm,Số dư đầu năm,206.244.396.684,4.367.130.430,-,210.611.527.114,206244396684.0,4367130430.0,,210611527114.0
Tăng trong năm,Giá gốc > Tăng trong năm,Tăng trong năm,-,-,195.950.665,195.950.665,,,195950665.0,195950665.0
Số dư cuối năm,Giá gốc > Số dư cuối năm,Số dư cuối năm,206.244.396.684,4.367.130.430,195.950.665,210.807.477.779,206244396684.0,4367130430.0,195950665.0,210807477779.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,135.777.561.151,-,-,135.777.561.151,135777561151.0,,,135777561151.0
Phân bổ trong năm,Giá trị hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,20.624.439.671,-,-,20.624.439.671,20624439671.0,,,20624439671.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,156.402.000.822,-,-,156.402.000.822,156402000822.0,,,156402000822.0
Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,Giá trị ghi sổ,,,,
Số dư đầu năm,Giá trị ghi sổ > Số dư đầu năm,Số dư đầu năm,70.466.835.533,4.367.130.430,-,74.833.965.963,70466835533.0,4367130430.0,,74833965963.0
Số dư cuối năm,Giá trị ghi sổ > Số dư cuối năm,Số dư cuối năm,49.842.395.862,4.367.130.430,195.950.665,54.405.476.957,49842395862.0,4367130430.0,195950665.0,54405476957.0
