row_label_raw,row_label_full,Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu,Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_1,Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_2,Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_3,Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_4,Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_5,numeric__Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_1,numeric__Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_2,numeric__Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_3,numeric__Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_4,numeric__Tỉnh hình tăng (giảm) nguồn vốn chủ sở hữu_5
,,,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.532.099.870.000,522.021.325.200,(6.040.930.000),8.714.514.099.519,13.762.594.364.719,4532099870000.0,522021325200.0,-6040930000.0,8714514099519.0,13762594364719.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.416.332.587.643,3.416.332.587.643,,,,3416332587643.0,3416332587643.0
Phát hành cổ phiếu ESOP,Năm trước > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,222.212.100.000,-,6.040.930.000,-,228.253.030.000,222212100000.0,,6040930000.0,,228253030000.0
Chia cổ tức cổ phiếu,Năm trước > Chia cổ tức cổ phiếu,Chia cổ tức cổ phiếu,2.376.342.980.000,-,-,(2.376.342.980.000),-,2376342980000.0,,,-2376342980000.0,
Mua lại cổ phiếu quỹ,Năm trước > Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(2.320.000.000),-,(2.320.000.000),,,-2320000000.0,,-2320000000.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,(237.635.732.000),(237.635.732.000),,,,-237635732000.0,-237635732000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.130.654.950.000,522.021.325.200,(2.320.000.000),9.516.867.975.162,17.167.224.250.362,7130654950000.0,522021325200.0,-2320000000.0,9516867975162.0,17167224250362.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.130.654.950.000,522.021.325.200,(2.320.000.000),9.516.867.975.162,17.167.224.250.362,7130654950000.0,522021325200.0,-2320000000.0,9516867975162.0,17167224250362.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.290.925.412.891,2.290.925.412.891,,,,2290925412891.0,2290925412891.0
Phát hành cổ phiếu ESOP (i),Năm nay > Phát hành cổ phiếu ESOP (i),Phát hành cổ phiếu ESOP (i),191.909.700.000,-,-,-,191.909.700.000,191909700000.0,,,,191909700000.0
Cổ phiếu quỹ (i),Năm nay > Cổ phiếu quỹ (i),Cổ phiếu quỹ (i),(2.320.000.000),-,2.320.000.000,-,-,-2320000000.0,,2320000000.0,,
Mua lại cổ phiếu,Năm nay > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(5.025.640.000),-,(5.025.640.000),,,-5025640000.0,,-5025640000.0
Chia cổ tức cổ phiếu (ii),Năm nay > Chia cổ tức cổ phiếu (ii),Chia cổ tức cổ phiếu (ii),7.318.548.150.000,-,-,(7.318.548.150.000),-,7318548150000.0,,,-7318548150000.0,
Chia cổ tức tiền (ii),Năm nay > Chia cổ tức tiền (ii),Chia cổ tức tiền (ii),-,-,-,(731.854.815.000),(731.854.815.000),,,,-731854815000.0,-731854815000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,14.638.792.800.000,522.021.325.200,(5.025.640.000),3.757.390.423.053,18.913.178.908.253,14638792800000.0,522021325200.0,-5025640000.0,3757390423053.0,18913178908253.0
