row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,5.729.171.280.064,2.800.983.333.351,(8.530.154.613.415),-,5729171280064.0,2800983333351.0,-8530154613415.0,
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.829.554.613.415,-,(1.829.554.613.415),-,1829554613415.0,,-1829554613415.0,
Vay dài hạn từ ngân hàng đến hạn trả,Vay dài hạn từ ngân hàng đến hạn trả,Vay dài hạn từ ngân hàng đến hạn trả,2.768.400.000.000,2.797.200.000.000,(5.565.600.000.000),-,2768400000000.0,2797200000000.0,-5565600000000.0,
Trái phiếu thông thường đến hạn trả,Trái phiếu thông thường đến hạn trả,Trái phiếu thông thường đến hạn trả,1.131.216.666.649,3.783.333.351,(1.135.000.000.000),-,1131216666649.0,3783333351.0,-1135000000000.0,
Dài hạn,Dài hạn,Dài hạn,-,5.901.250.000.000,-,5.901.250.000.000,,5901250000000.0,,5901250000000.0
Vay dài hạn từ ngân hàng (Thuyết minh số 12.1),Vay dài hạn từ ngân hàng (Thuyết minh số 12.1),Vay dài hạn từ ngân hàng (Thuyết minh số 12.1),-,5.901.250.000.000,-,5.901.250.000.000,,5901250000000.0,,5901250000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.729.171.280.064,8.702.233.333.351,(8.530.154.613.415),5.901.250.000.000,5729171280064.0,8702233333351.0,-8530154613415.0,5901250000000.0
12.1 Vay ngân hàng,12.1 Vay ngân hàng,12.1 Vay ngân hàng,12.1 Vay ngân hàng,12.1 Vay ngân hàng,12.1 Vay ngân hàng,12.1 Vay ngân hàng,,,,
"Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Công ty thực hiện các khoản vay tín chấp với lãi suất thả nổi nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:",,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm,Số cuối năm,Ngày đáo hạn,Ngày đáo hạn,,,,
Ngân hàng,Ngân hàng,Ngân hàng,VND,USD,Ngày đáo hạn,Ngày đáo hạn,,,,
Khoản vay ngân hàng không có tài sản đảm bảo,Ngân hàng > Khoản vay ngân hàng không có tài sản đảm bảo,Khoản vay ngân hàng không có tài sản đảm bảo,5.901.250.000.000,250.000.000,Ngày 7 tháng 7 năm 2025,Ngày 7 tháng 7 năm 2025,5901250000000.0,250000000.0,,
