row_label_raw,row_label_full,Phải thu từ các bên liên quan(Thuyết minh số 18),Số cuối năm > -,VND Số đầu năm > 696.000.000.000,numeric__Số cuối năm > -,numeric__VND Số đầu năm > 696.000.000.000
Lãi tiền gửi phải thu,Lãi tiền gửi phải thu,Lãi tiền gửi phải thu,3.688.284.931,-,3688284931.0,
Lãi trái phiếu phải thu,Lãi trái phiếu phải thu,Lãi trái phiếu phải thu,3.174.201.369,-,3174201369.0,
Lãi cho vay phải thu,Lãi cho vay phải thu,Lãi cho vay phải thu,-,591.123.288,,591123288.0
Khác,Khác,Khác,50.000.637,172.011.634,50000637.0,172011634.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.912.486.937,696.763.134.922,6912486937.0,696763134922.0
