row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Hoạt động chính,%sở hữu,Giá gốc đầu tưVND,Dự phòngVND,%sở hữu,Giá gốc đầu tưVND,Dự phòngVND,,,,,,,,
Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh (iv),Tên công ty > Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh (iv),Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh (iv),"Thành phố Hồ Chí Minh, Việt Nam",Quản lý khoản đầu tư,"99,99",14.049.800.000.000,-,-,-,-,,,99.99,14049800000000.0,,,,
Công ty Cổ phần Thế Giới Di Động (i),Tên công ty > Công ty Cổ phần Thế Giới Di Động (i),Công ty Cổ phần Thế Giới Di Động (i),"Thành phố Hồ Chí Minh, Việt Nam",Thương mại sản phẩm điện tử,"99,95",4.426.023.111.000,-,"99,95",3.626.466.331.000,-,,,99.95,4426023111000.0,,99.95,3626466331000.0,
Công ty Cổ phần Thế Giới Số Trần Anh,Tên công ty > Công ty Cổ phần Thế Giới Số Trần Anh,Công ty Cổ phần Thế Giới Số Trần Anh,"Thành phố Hà Nội, Việt Nam",Thương mại sản phẩm điện tử,"99,33",860.937.300.707,,"99,33",860.937.300.707,-,,,99.33,860937300707.0,,99.33,860937300707.0,
Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Tên công ty > Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Công nghệ thông tin,"100,00",538.000.000.000,-,"100,00",538.000.000.000,-,,,100.0,538000000000.0,,100.0,538000000000.0,
Công ty Cổ phần 4K Farm (i),Tên công ty > Công ty Cổ phần 4K Farm (i),Công ty Cổ phần 4K Farm (i),"Tỉnh Bà Rịa – Vũng Tàu, Việt Nam",Nông nghiệp,"99,99",149.998.900.000,,"99,99",99.998.900.000,-,,,99.99,149998900000.0,,99.99,99998900000.0,
Công ty Cổ phần Dịch Vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm (iii),Tên công ty > Công ty Cổ phần Dịch Vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm (iii),Công ty Cổ phần Dịch Vụ Lắp đặt - Sửa chữa - Bảo hành Tận Tâm (iii),"Thành phố Hồ Chí Minh, Việt Nam",Dịch vụ sửa chữa,"99,99",99.998.900.000,-,-,-,-,,,99.99,99998900000.0,,,,
Công ty Cổ phần Logistics Toàn Tín (i),Tên công ty > Công ty Cổ phần Logistics Toàn Tín (i),Công ty Cổ phần Logistics Toàn Tín (i),"Thành phố Hồ Chí Minh, Việt Nam",Kho vận,"99,99",99.998.900.000,-,"99,99",5.000.000.000,-,,,99.99,99998900000.0,,99.99,5000000000.0,
Công ty Cổ phần Thương mại Bách Hóa Xanh (ii),Tên công ty > Công ty Cổ phần Thương mại Bách Hóa Xanh (ii),Công ty Cổ phần Thương mại Bách Hóa Xanh (ii),"Thành phố Hồ Chí Minh, Việt Nam",Thương mại thực phẩm,-,-,-,"99,95",12.825.295.910.000,-,,,,,,99.95,12825295910000.0,
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,,20.224.757.111.707,-,,17.955.698.441.707,-,,,,20224757111707.0,,,17955698441707.0,
