row_label_raw,row_label_full,Ông Nguyễn Tiến Trung,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Thành viên,từ nhiệm ngày 1 tháng 4 năm 2022,,
Ông Đào Thế Vinh,Ông Đào Thế Vinh,Ông Đào Thế Vinh,Thành viên,,,
