row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,422.680,415.676,216.112,35.709,14.802,1.104.979,422680.0,415676.0,216112.0,35709.0,14802.0,1104979.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.234,27.674,1.597,1.154,518,35.177,4234.0,27674.0,1597.0,1154.0,518.0,35177.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,355.201,45.928,46.478,5.306,4.778,457.691,355201.0,45928.0,46478.0,5306.0,4778.0,457691.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(38.592),(10.089),(150),(117),(48.948),,-38592.0,-10089.0,-150.0,-117.0,-48948.0
Chuyển từ tài sản cố địnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,4.299,-,-,4.299,,,4299.0,,,4299.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,782.115,450.686,258.397,42.019,19.981,1.553.198,782115.0,450686.0,258397.0,42019.0,19981.0,1553198.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,158.990,241.718,142.545,30.753,12.764,586.770,158990.0,241718.0,142545.0,30753.0,12764.0,586770.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,28.777,48.326,28.686,3.023,1.820,110.632,28777.0,48326.0,28686.0,3023.0,1820.0,110632.0
Chuyển từ tài sản cố địnhthuê tài chính,Giá trị khấu hao luỹ kế > Chuyển từ tài sản cố địnhthuê tài chính,Chuyển từ tài sản cố địnhthuê tài chính,-,-,3.642,-,-,3.642,,,3642.0,,,3642.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(38.592),(10.059),(147),(117),(48.915),,-38592.0,-10059.0,-147.0,-117.0,-48915.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,187.767,251.452,164.814,33.629,14.467,652.129,187767.0,251452.0,164814.0,33629.0,14467.0,652129.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,263.690,173.958,73.567,4.956,2.038,518.209,263690.0,173958.0,73567.0,4956.0,2038.0,518209.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,594.348,199.234,93.583,8.390,5.514,901.069,594348.0,199234.0,93583.0,8390.0,5514.0,901069.0
