row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phândã bảo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phândã bảo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Doanh thu,Doanh thu,Doanh thu,4.161.300,4.797.556,42.337.896,51.296.752,(29.969.307),21.327.445,4161300.0,4797556.0,42337896.0,51296752.0,-29969307.0,21327445.0
Doanh thu lãi,Doanh thu lãi,Doanh thu lãi,4.120.972,4.647.114,40.539.561,49.307.647,(29.969.307),19.338.340,4120972.0,4647114.0,40539561.0,49307647.0,-29969307.0,19338340.0
Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,Doanh thu từ hoạt động dịch vụ,27.638,72.624,1.041.225,1.141.487,,1.141.487,27638.0,72624.0,1041225.0,1141487.0,,1141487.0
Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,Doanh thu từ hoạt động kinh doanh khác,12.690,77.818,757.110,847.618,,847.618,12690.0,77818.0,757110.0,847618.0,,847618.0
Chi phí,Chi phí,Chi phí,(3.570.618),(3.895.471),(39.680.302),(47.146.391),29.969.307,(17.177.084),-3570618.0,-3895471.0,-39680302.0,-47146391.0,29969307.0,-17177084.0
Chi phí lãi,Chi phí lãi,Chi phí lãi,(3.235.069),(3.477.009),(35.983.915),(42.695.993),29.969.307,(12.726.686),-3235069.0,-3477009.0,-35983915.0,-42695993.0,29969307.0,-12726686.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,(11.005),(16.852),(117.808),(145.665),-,(145.665),-11005.0,-16852.0,-117808.0,-145665.0,,-145665.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(324.544),(401.610),(3.578.579),(4.304.733),-,(4.304.733),-324544.0,-401610.0,-3578579.0,-4304733.0,,-4304733.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,590.682,902.085,2.657.594,4.150.361,,4.150.361,590682.0,902085.0,2657594.0,4150361.0,,4150361.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(29.862),(52.942),(765.000),(847.804),-,(847.804),-29862.0,-52942.0,-765000.0,-847804.0,,-847804.0
Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,Kết quả kinh doanh trước thuế,560.820,849.143,1.892.594,3.302.557,-,3.302.557,560820.0,849143.0,1892594.0,3302557.0,,3302557.0
