row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thặng dưvốn cổ phầnTriệu đồng,Vốn khácTriệu đồng,Vốn đầu tưxây dựngcơ bảnTriệu đồng,Quỹ củaTCTDTriệu đồng,Lợi nhuậnchưa phânphốiTriệu đồng,Tổng côngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thặng dưvốn cổ phầnTriệu đồng,numeric__Vốn khácTriệu đồng,numeric__Vốn đầu tưxây dựngcơ bảnTriệu đồng,numeric__Quỹ củaTCTDTriệu đồng,numeric__Lợi nhuậnchưa phânphốiTriệu đồng,numeric__Tổng côngTriệu đồng
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,8.464.347,1.572.231,25,10,1.022.904,1.561.753,12.621.270,8464347.0,1572231.0,25.0,10.0,1022904.0,1561753.0,12621270.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.116.069,(1.571.816),-,-,-,(544.253),-,2116069.0,-1571816.0,,,,-544253.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.621.619,2.621.619,,,,,,2621619.0,2621619.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,396.317,(396.317),-,,,,,396317.0,-396317.0,
"Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(29.607),(29.607),,,,,,-29607.0,-29607.0
Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,Ngày 31 tháng 12 năm 2023,10.580.416,415,25,10,1.419.221,3.213.195,15.213.282,10580416.0,415.0,25.0,10.0,1419221.0,3213195.0,15213282.0
