row_label_raw,row_label_full,col_0,Phương tiệnvận tảiTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,133.752,133752.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.293,19293.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,9.346,9346.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(4.299),-4299.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,158.092,158092.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,33.797,33797.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,24.205,24205.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao luỹ kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(3.642),-3642.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,54.360,54360.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,99.955,99955.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,103.732,103732.0
