row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,113.313.435,"80,12",92.868.899,"77,69",113313435.0,80.12,92868899.0,77.69
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,61.289.527,"43,33",47.750.561,"39,95",61289527.0,43.33,47750561.0,39.95
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,51.962.750,"36,74",45.053.766,"37,69",51962750.0,36.74,45053766.0,37.69
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,8.110,"0,01",10.886,"0,01",8110.0,0.01,10886.0,0.01
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,32,"0,00",4.532,"0,00",32.0,0.0,4532.0,0.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,265,"0,00",76,"0,00",265.0,0.0,76.0,0.0
Khác,Khác,Khác,52.751,"0,04",49.078,"0,04",52751.0,0.04,49078.0,0.04
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,28.125.006,"19,88",26.669.441,"22,31",28125006.0,19.88,26669441.0,22.31
,,,141.438.441,"100,00",119.538.340,"100,00",141438441.0,100.0,119538340.0,100.0
