row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,numeric__Thuyết minh,numeric__Số cuối năm Triệu đồng,numeric__Số đầu năm Triệu đồng
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,33,14.694.595,17.916.749,33.0,14694595.0,17916749.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,,12.105.195,17.916.749,,12105195.0,17916749.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,2.420.000,-,,2420000.0,
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,169.400,-,,169400.0,
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,33,6.114.363,7.953.409,33.0,6114363.0,7953409.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,33,9.847.973,885.819,33.0,9847973.0,885819.0
Lãi cho vay và chi phí chưa thu được,Lãi cho vay và chi phí chưa thu được,Lãi cho vay và chi phí chưa thu được,34,2.019.149,1.264.852,34.0,2019149.0,1264852.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,35,2.674.247,1.709.121,35.0,2674247.0,1709121.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,36,11.433.276,12.450.285,36.0,11433276.0,12450285.0
,,,,46.783.603,42.180.235,,46783603.0,42180235.0
