row_label_raw,row_label_full,col_0,Quyền khai thác thương mạitòa nhàVND,Quyền khai thác thương mạiđường bayVND,KhácVND,CộngVND,numeric__Quyền khai thác thương mạitòa nhàVND,numeric__Quyền khai thác thương mạiđường bayVND,numeric__KhácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,-,-,108.623.042.127,108.623.042.127,,,108623042127.0,108623042127.0
- Tăng trong năm,NGUYÊN GIÁ > - Tăng trong năm,- Tăng trong năm,3.585.182.962.963,1.746.360.897.756,15.811.127.364,5.347.354.988.083,3585182962963.0,1746360897756.0,15811127364.0,5347354988083.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(830.099.000),(830.099.000),,,-830099000.0,-830099000.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,3.585.182.962.963,1.746.360.897.756,123.604.070.491,5.455.147.931.210,3585182962963.0,1746360897756.0,123604070491.0,5455147931210.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,
01/01/2025,GIÁ TRỊ HAO MÔN LỦY KẾ > 01/01/2025,01/01/2025,-,-,(52.934.256.910),(52.934.256.910),,,-52934256910.0,-52934256910.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > - Hao mòn trong năm,- Hao mòn trong năm,(10.292.709.006),(49.311.990.475),(13.962.427.783),(73.567.127.264),-10292709006.0,-49311990475.0,-13962427783.0,-73567127264.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,830.099.000,830.099.000,,,830099000.0,830099000.0
31/12/2025,GIÁ TRỊ HAO MÔN LỦY KẾ > 31/12/2025,31/12/2025,(10.292.709.006),(49.311.990.475),(66.066.585.693),(125.671.285.174),-10292709006.0,-49311990475.0,-66066585693.0,-125671285174.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,
01/01/2025,GIÁ TRỊ CÔN LẠI > 01/01/2025,01/01/2025,-,-,55.688.785.217,55.688.785.217,,,55688785217.0,55688785217.0
31/12/2025,GIÁ TRỊ CÔN LẠI > 31/12/2025,31/12/2025,3.574.890.253.957,1.697.048.907.281,57.537.484.798,5.329.476.646.036,3574890253957.0,1697048907281.0,57537484798.0,5329476646036.0
