row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dự vốn cổ phần,Chênh lệch tỷ giá hối đoái,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dự vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
01/01/2024,01/01/2024,01/01/2024,5.416.113.340.000,247.483.117.899,318.761.018.138,9.249.524.468.061,21.258.359.337,15.253.140.303.435,5416113340000.0,247483117899.0,318761018138.0,9249524468061.0,21258359337.0,15253140303435.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.403.162.979.000,840.413.859,1.404.003.392.859,,,,1403162979000.0,840413859.0,1404003392859.0
- Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,- Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,- Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,-,-,461.569.068.810,-,-,461.569.068.810,,,461569068810.0,,,461569068810.0
01/01/2025,01/01/2025,01/01/2025,5.416.113.340.000,247.483.117.899,780.330.086.948,10.652.687.447.061,22.098.773.196,17.118.712.765.104,5416113340000.0,247483117899.0,780330086948.0,10652687447061.0,22098773196.0,17118712765104.0
- Tăng vốn trong năm,- Tăng vốn trong năm,- Tăng vốn trong năm,500.000.000.000,4.499.900.000.000,-,-,-,4.999.900.000.000,500000000000.0,4499900000000.0,,,,4999900000000.0
- Lãi trong năm,- Lãi trong năm,- Lãi trong năm,-,-,-,2.122.533.969.007,899.453.915,2.123.433.422.922,,,,2122533969007.0,899453915.0,2123433422922.0
- Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,- Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,- Chênh lệch quy đổi ngoại tệ các hoạt động ở nước ngoài,-,-,545.593.852.991,-,-,545.593.852.991,,,545593852991.0,,,545593852991.0
- Hợp nhất công ty con,- Hợp nhất công ty con,- Hợp nhất công ty con,-,-,-,,21.543.251.156,21.543.251.156,,,,,21543251156.0,21543251156.0
31/12/2025,31/12/2025,31/12/2025,5.916.113.340.000,4.747.383.117.899,1.325.923.939.939,12.775.221.416.068,44.541.478.267,24.809.183.292.173,5916113340000.0,4747383117899.0,1325923939939.0,12775221416068.0,44541478267.0,24809183292173.0
