row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,49.719.146.269.227,38.577.508.632.397,100.0,,49719146269227.0,38577508632397.0
Tiền và các khoản tương đương,Tiền và các khoản tương đương,Tiền và các khoản tương đương,110,5,10.986.580.442.252,4.558.984.549.152,110.0,5.0,10986580442252.0,4558984549152.0
Tiền,Tiền,Tiền,111,,10.899.474.784.599,4.028.730.256.238,111.0,,10899474784599.0,4028730256238.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,87.105.657.653,530.254.292.914,112.0,,87105657653.0,530254292914.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,6(a),2.697.566.655.855,3.825.833.411.115,120.0,,2697566655855.0,3825833411115.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,,990.000.000.000,990.000.000.000,121.0,,990000000000.0,990000000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,122,,(450.000.000.000),(386.800.000.000),122.0,,-450000000000.0,-386800000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,2.157.566.655.855,3.222.633.411.115,123.0,,2157566655855.0,3222633411115.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,33.547.327.983.359,27.945.458.314.477,130.0,,33547327983359.0,27945458314477.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,13.684.613.276.910,11.364.962.887.070,131.0,7.0,13684613276910.0,11364962887070.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,8,1.874.089.197.800,769.368.218.015,132.0,8.0,1874089197800.0,769368218015.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9,1.724.167.453.293,1.633.712.453.293,135.0,9.0,1724167453293.0,1633712453293.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10,16.417.802.025.396,14.404.780.037.999,136.0,10.0,16417802025396.0,14404780037999.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(153.343.970.040),(227.365.281.900),137.0,,-153343970040.0,-227365281900.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,11,2.194.104.588.398,2.005.435.760.243,140.0,11.0,2194104588398.0,2005435760243.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,2.194.104.588.398,2.005.435.760.243,141.0,,2194104588398.0,2005435760243.0
Tài sẵn ngắn hạn khác,Tài sẵn ngắn hạn khác,Tài sẵn ngắn hạn khác,150,,293.566.599.363,241.796.597.410,150.0,,293566599363.0,241796597410.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,12,276.048.444.208,200.408.169.962,151.0,12.0,276048444208.0,200408169962.0
Thuế giá trị gia tăng (GTGT) được khấu trừ,Thuế giá trị gia tăng (GTGT) được khấu trừ,Thuế giá trị gia tăng (GTGT) được khấu trừ,152,18(a),6.217.436.758,6.675.640.802,152.0,,6217436758.0,6675640802.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,18(a),11.300.718.397,34.712.786.646,153.0,,11300718397.0,34712786646.0
