row_label_raw,row_label_full,Ông Đình Việt Phương,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Thanh Sơn,Ông Nguyễn Thanh Sơn,Ông Nguyễn Thanh Sơn,Giám đốc Điều hành (từ ngày 04/07/2025),
Bà Hồ Ngọc Yến Phương,Bà Hồ Ngọc Yến Phương,Bà Hồ Ngọc Yến Phương,Phó Tổng Giám đốc kiểm Giám đốc Tài chính,
Ông Tô Việt Thắng,Ông Tô Việt Thắng,Ông Tô Việt Thắng,Phó Tổng Giám đốc Thường trực,
Ông Michael Hickey,Ông Michael Hickey,Ông Michael Hickey,Phó Tổng Giám đốc Vận hành,
