row_label_raw,row_label_full,col_0,01/01/2025VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số đã thực hoàn trong nămVND,Cán trừ trong nămVND,31/12/2025VND,numeric__01/01/2025VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__Số đã thực hoàn trong nămVND,numeric__Cán trừ trong nămVND,numeric__31/12/2025VND
Thuế GTGT đầu ra phải nộp,Thuế GTGT đầu ra phải nộp,Thuế GTGT đầu ra phải nộp,21.143.294.552,2.259.539.086.898,(557.639.795.289),-,(1.720.298.411.800),2.744.174.361,21143294552.0,2259539086898.0,-557639795289.0,,-1720298411800.0,2744174361.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,173.108.233.913,40.421.433.578,(171.944.934.506),-,-,41.584.732.985,173108233913.0,40421433578.0,-171944934506.0,,,41584732985.0
Thuế thu thập cá nhân,Thuế thu thập cá nhân,Thuế thu thập cá nhân,85.620.516.427,597.322.495.153,(611.076.103.220),(10.782.691.613),-,61.084.216.747,85620516427.0,597322495153.0,-611076103220.0,-10782691613.0,,61084216747.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,6.962.092,103.039.590.788,(64.146.182.189),-,(31.963.109.065),6.937.261.626,6962092.0,103039590788.0,-64146182189.0,,-31963109065.0,6937261626.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,416.396.711.011,(403.752.205.522),-,(12.644.505.489),-,,416396711011.0,-403752205522.0,,-12644505489.0,
,,,279.879.006.984,3.416.719.317.428,(1.808.559.220.726),(10.782.691.613),(1.764.906.026.354),112.350.385.719,279879006984.0,3416719317428.0,-1808559220726.0,-10782691613.0,-1764906026354.0,112350385719.0
