row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,2.630.333.538.765,1.822.616.876.699,1.0,,2630333538765.0,1822616876699.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ,Điều chỉnh cho các khoản: > Khấu hao TSCĐ,Khấu hao TSCĐ,02,,1.077.234.577.766,613.292.961.764,2.0,,1077234577766.0,613292961764.0
Các khoản dự phòng,Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,30.441.343.111,1.063.193.861.899,3.0,,30441343111.0,1063193861899.0
(Lãi) các khoản chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản: > (Lãi) các khoản chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi) các khoản chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,(411.756.997.068),(510.288.540.912),4.0,,-411756997068.0,-510288540912.0
(Lãi) hoạt động đầu tư,Điều chỉnh cho các khoản: > (Lãi) hoạt động đầu tư,(Lãi) hoạt động đầu tư,05,,(1.067.886.879.638),(762.045.259.263),5.0,,-1067886879638.0,-762045259263.0
Chi phí lãi vay,Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,31,3.619.678.428.651,3.211.952.994.975,6.0,31.0,3619678428651.0,3211952994975.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,5.878.044.011.587,5.438.722.895.162,8.0,,5878044011587.0,5438722895162.0
Giảm các khoản phải thu,Điều chỉnh cho các khoản: > Giảm các khoản phải thu,Giảm các khoản phải thu,09,,2.010.198.941.203,2.689.195.758.963,9.0,,2010198941203.0,2689195758963.0
(Tăng) hàng tồn kho,Điều chỉnh cho các khoản: > (Tăng) hàng tồn kho,(Tăng) hàng tồn kho,10,,(188.668.828.155),(1.302.051.216.979),10.0,,-188668828155.0,-1302051216979.0
Tăng (Giảm) các khoản phải trả,Điều chỉnh cho các khoản: > Tăng (Giảm) các khoản phải trả,Tăng (Giảm) các khoản phải trả,11,,125.670.615.169,(4.511.473.565.195),11.0,,125670615169.0,-4511473565195.0
(Tăng) chi phí trả trước,Điều chỉnh cho các khoản: > (Tăng) chi phí trả trước,(Tăng) chi phí trả trước,12,,(2.586.393.053.457),(792.677.623.135),12.0,,-2586393053457.0,-792677623135.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(3.557.844.196.026),(3.203.138.049.663),14.0,,-3557844196026.0,-3203138049663.0
Thuế TNDN đã nộp,Điều chỉnh cho các khoản: > Thuế TNDN đã nộp,Thuế TNDN đã nộp,15,,(171.956.097.300),(570.964.920),15.0,,-171956097300.0,-570964920.0
Tiền chi khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,-,(130.000.000),17.0,,,-130000000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.509.051.393.021,(1.682.122.765.767),20.0,,1509051393021.0,-1682122765767.0
Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,21,,(31.207.402.078.673),(8.786.533.082.262),21.0,,-31207402078673.0,-8786533082262.0
Tiền thu thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,Tiền thu thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,22,,3.393.870.331.429,859.025.556.874,22.0,,3393870331429.0,859025556874.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(1.012.964.407.546),(4.922.958.871.249),23.0,,-1012964407546.0,-4922958871249.0
Tiền thu hồi cho vay bán lại các công cụ nợ của đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi cho vay bán lại các công cụ nợ của đơn vị khác,Tiền thu hồi cho vay bán lại các công cụ nợ của đơn vị khác,24,,2.027.576.162.806,1.810.119.331.230,24.0,,2027576162806.0,1810119331230.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(205.000.000.000),-,25.0,,-205000000000.0,
Tiền thu lãi vay cổ tức và lợi nhuận được chia,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu lãi vay cổ tức và lợi nhuận được chia,Tiền thu lãi vay cổ tức và lợi nhuận được chia,27,,449.805.310.710,224.132.855.494,27.0,,449805310710.0,224132855494.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(26.554.114.681.274),(10.816.214.209.913),30.0,,-26554114681274.0,-10816214209913.0
