row_label_raw,row_label_full,col_0,Nguyên tệ,Thời gianđáo hạn,31/12/2025VND,01/01/2025VND,numeric__Nguyên tệ,numeric__Thời gianđáo hạn,numeric__31/12/2025VND,numeric__01/01/2025VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,1.724.167.453.293,1.633.712.453.293,,,1724167453293.0,1633712453293.0
Công ty Cổ phần Angelica Aviation CapitalViệt Nam (i),Công ty Cổ phần Angelica Aviation CapitalViệt Nam (i),Công ty Cổ phần Angelica Aviation CapitalViệt Nam (i),VND,2026,604.250.000.000,604.250.000.000,,2026.0,604250000000.0,604250000000.0
Công ty Cổ Phần Menas Trường Sơn (i),Công ty Cổ Phần Menas Trường Sơn (i),Công ty Cổ Phần Menas Trường Sơn (i),VND,2026,422.400.000.000,517.400.000.000,,2026.0,422400000000.0,517400000000.0
Công ty Cổ phần Trường Sơn Plaza (i),Công ty Cổ phần Trường Sơn Plaza (i),Công ty Cổ phần Trường Sơn Plaza (i),VND,2026,338.710.531.793,338.710.531.793,,2026.0,338710531793.0,338710531793.0
Khác,Khác,Khác,VND,2026,358.806.921.500,173.351.921.500,,2026.0,358806921500.0,173351921500.0
Dải hạn,Dải hạn,Dải hạn,,,899.551.383.311,921.644.963.530,,,899551383311.0,921644963530.0
AAA Aircraft Asset Company Limited (ii),AAA Aircraft Asset Company Limited (ii),AAA Aircraft Asset Company Limited (ii),USD,2029,561.406.776.000,543.990.480.000,,2029.0,561406776000.0,543990480000.0
Apricot Aircarft No.1 Limited (iii),Apricot Aircarft No.1 Limited (iii),Apricot Aircarft No.1 Limited (iii),USD,2033,338.144.607.311,327.654.483.530,,2033.0,338144607311.0,327654483530.0
Khác,Khác,Khác,VND,,-,50.000.000.000,,,,50000000000.0
,,,,,2.623.718.836.604,2.555.357.416.823,,,2623718836604.0,2555357416823.0
Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),899.551.383.311,921.644.963.530,,,899551383311.0,921644963530.0
(i),(i),(i),Khoản cho vay ngắn hạn các đối tượng trên với mục đích bổ sung nguồn vốn phục vụ hoạt động sản xuất kinh doanh và không có tải sản đảm bảo.,Khoản cho vay ngắn hạn các đối tượng trên với mục đích bổ sung nguồn vốn phục vụ hoạt động sản xuất kinh doanh và không có tải sản đảm bảo.,Khoản cho vay ngắn hạn các đối tượng trên với mục đích bổ sung nguồn vốn phục vụ hoạt động sản xuất kinh doanh và không có tải sản đảm bảo.,Khoản cho vay ngắn hạn các đối tượng trên với mục đích bổ sung nguồn vốn phục vụ hoạt động sản xuất kinh doanh và không có tải sản đảm bảo.,,,,
(ii),(ii),(ii),"Khoản này thể hiện số dư cho AAA Aircraft Asset Company Limited vay, một bên liên quan, với số tiền là 21.501.600 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2029.","Khoản này thể hiện số dư cho AAA Aircraft Asset Company Limited vay, một bên liên quan, với số tiền là 21.501.600 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2029.","Khoản này thể hiện số dư cho AAA Aircraft Asset Company Limited vay, một bên liên quan, với số tiền là 21.501.600 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2029.","Khoản này thể hiện số dư cho AAA Aircraft Asset Company Limited vay, một bên liên quan, với số tiền là 21.501.600 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2029.",,,,
(iii),(iii),(iii),"Khoản này thể hiện số dư cho Apricot Aircraft Assets No. 1 Limited vay, một bên liên quan, với số tiền là 12.950.770 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2033.","Khoản này thể hiện số dư cho Apricot Aircraft Assets No. 1 Limited vay, một bên liên quan, với số tiền là 12.950.770 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2033.","Khoản này thể hiện số dư cho Apricot Aircraft Assets No. 1 Limited vay, một bên liên quan, với số tiền là 12.950.770 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2033.","Khoản này thể hiện số dư cho Apricot Aircraft Assets No. 1 Limited vay, một bên liên quan, với số tiền là 12.950.770 Độ la Mỹ để cung cấp hỗ trợ tài chính cho việc mua tàu bay và các chi phí mua liên quan. Khoản cho vay này không có tải sản đảm bảo và sẽ đáo hạn trong năm 2033.",,,,
