row_label_raw,row_label_full,Bên cho vay,Loại tiền,Thời gian đáo hạn,31/12/2025VND,01/01/2025VND,numeric__Loại tiền,numeric__Thời gian đáo hạn,numeric__31/12/2025VND,numeric__01/01/2025VND
Các khoản vay có Tài sản đảm bảo (i),Các khoản vay có Tài sản đảm bảo (i),Các khoản vay có Tài sản đảm bảo (i),Các khoản vay có Tài sản đảm bảo (i),Các khoản vay có Tài sản đảm bảo (i),Các khoản vay có Tài sản đảm bảo (i),Các khoản vay có Tài sản đảm bảo (i),,,,
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Các khoản vay có Tài sản đảm bảo (i) > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"USD, VND",Tháng 7 đến tháng 12 năm 2026,6.649.600.031.726,2.881.297.882.859,,,6649600031726.0,2881297882859.0
Ngân hàng TNHH MTV số Vikki,Các khoản vay có Tài sản đảm bảo (i) > Ngân hàng TNHH MTV số Vikki,Ngân hàng TNHH MTV số Vikki,"USD, VND",Tháng 4 đến tháng 12 năm 2026,3.096.059.187.875,-,,,3096059187875.0,
Các khoản vay không có Tài sản đảm bảo (ii),Các khoản vay không có Tài sản đảm bảo (ii),Các khoản vay không có Tài sản đảm bảo (ii),Các khoản vay không có Tài sản đảm bảo (ii),Các khoản vay không có Tài sản đảm bảo (ii),Các khoản vay không có Tài sản đảm bảo (ii),Các khoản vay không có Tài sản đảm bảo (ii),,,,
Ngân hàng TMCP Công thương Việt Nam,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,"USD, VND",Tháng 1 đến tháng 4 năm 2026,2.677.183.080.438,"2.559.902.533.467,00",,,2677183080438.0,2559902533467.0
Ngân hàng TMCP Quân Đội,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,"USD, VND",Tháng 1 đến tháng 4 năm 2026,3.029.396.409.721,2.511.371.998.427,,,3029396409721.0,2511371998427.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"USD, VND",Tháng 1 đến tháng 3 năm 2026,997.885.678.537,-,,,997885678537.0,
"Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh TP Hồ Chí Minh","Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh TP Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh TP Hồ Chí Minh",VND,Tháng 1 đến tháng 6 năm 2026,648.381.796.137,649.984.161.979,,,648381796137.0,649984161979.0
Ngân hàng TMCP Hàng hải Việt Nam,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,VND,Tháng 4 đến tháng 5 năm 2026,901.096.478.284,1.973.876.211.809,,,901096478284.0,1973876211809.0
Ngân Hàng HSBC Việt Nam,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân Hàng HSBC Việt Nam,Ngân Hàng HSBC Việt Nam,VND,Tháng 2 năm 2026,83.008.923.504,66.012.334.054,,,83008923504.0,66012334054.0
Ngân hàng TMCP Quốc tế Việt Nam,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,VND,Tháng 1 đến tháng 4 năm 2026,1.267.754.794.445,1.029.971.666.316,,,1267754794445.0,1029971666316.0
Ngân hàng TMCP Tiên Phong,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,"USD, VND",Tháng 1 năm 2026,121.677.100.558,-,,,121677100558.0,
Ngân hàng TMCP Việt Nam Thịnh Vượng,Các khoản vay không có Tài sản đảm bảo (ii) > Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,VND,Tháng 4 đến tháng 5 năm 2026,60.802.165.029,-,,,60802165029.0,
,,,,,19.532.845.646.254,11.672.416.788.911,,,19532845646254.0,11672416788911.0
