row_label_raw,row_label_full,col_0,Tàu bay vàđộng cơ tàu bayVND,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiện,vận tải,truyền dẫnVND","Thiết bị,dụng cụquản lýVND",CộngVND,numeric__Tàu bay vàđộng cơ tàu bayVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiện,vận tải,truyền dẫnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,8.138.012.067.383,413.681.874.199,158.521.812.712,339.501.554.224,71.557.927.465,9.121.275.235.983,8138012067383.0,413681874199.0,158521812712.0,339501554224.0,71557927465.0,9121275235983.0
- Tăng trong năm,NGUYÊN GIÁ > - Tăng trong năm,- Tăng trong năm,16.678.733.466.026,397.433.531.320,52.467.231.965,88.773.893.457,4.876.668.677,17.222.284.791.445,16678733466026.0,397433531320.0,52467231965.0,88773893457.0,4876668677.0,17222284791445.0
- Tăng do hợp nhất kinhdoanh,NGUYÊN GIÁ > - Tăng do hợp nhất kinhdoanh,- Tăng do hợp nhất kinhdoanh,-,259.002.962.895,20.631.722.737,2.375.761.838,433.158.033,282.443.605.503,,259002962895.0,20631722737.0,2375761838.0,433158033.0,282443605503.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(630.549.373.525),(411.392.636.989),(22.919.553.075),(38.000.000),(33.686.621.692),(1.098.586.185.281),-630549373525.0,-411392636989.0,-22919553075.0,-38000000.0,-33686621692.0,-1098586185281.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,24.186.196.159.884,658.725.731.425,208.701.214.339,430.613.209.519,43.181.132.483,25.527.417.447.650,24186196159884.0,658725731425.0,208701214339.0,430613209519.0,43181132483.0,25527417447650.0
GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,GIÁ TRỊ KHÁU HAO LỦY KẾ,,,,,,
01/01/2025,GIÁ TRỊ KHÁU HAO LỦY KẾ > 01/01/2025,01/01/2025,(610.727.890.424),(43.705.031.478),(82.390.935.413),(56.599.589.435),(43.634.702.526),(837.058.149.276),-610727890424.0,-43705031478.0,-82390935413.0,-56599589435.0,-43634702526.0,-837058149276.0
- Khấu hao trong năm,GIÁ TRỊ KHÁU HAO LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(617.155.615.080),(9.102.071.674),(20.256.898.257),(41.051.569.429),(7.045.458.292),(694.611.612.732),-617155615080.0,-9102071674.0,-20256898257.0,-41051569429.0,-7045458292.0,-694611612732.0
"- Thanh lý, nhượng bán","GIÁ TRỊ KHÁU HAO LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",18.596.713.988,51.563.972.152,4.200.338.537,33.328.240,21.586.651.935,95.981.004.852,18596713988.0,51563972152.0,4200338537.0,33328240.0,21586651935.0,95981004852.0
31/12/2025,GIÁ TRỊ KHÁU HAO LỦY KẾ > 31/12/2025,31/12/2025,(1.209.286.791.516),(1.243.131.000),(98.447.495.133),(97.617.830.624),(29.093.508.883),(1.435.688.757.156),-1209286791516.0,-1243131000.0,-98447495133.0,-97617830624.0,-29093508883.0,-1435688757156.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,7.527.284.176.959,369.976.842.721,76.130.877.299,282.901.964.789,27.923.224.939,8.284.217.086.707,7527284176959.0,369976842721.0,76130877299.0,282901964789.0,27923224939.0,8284217086707.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,22.976.909.368.368,657.482.600.425,110.253.719.206,332.995.378.895,14.087.623.600,24.091.728.690.494,22976909368368.0,657482600425.0,110253719206.0,332995378895.0,14087623600.0,24091728690494.0
