row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
Tiền thu từ phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,31,,5.000.000.000.000,-,31.0,,5000000000000.0,
Chỉ phí phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính > Chỉ phí phát hành cổ phiếu,Chỉ phí phát hành cổ phiếu,31,,(100.000.000),-,31.0,,-100000000.0,
Tiền thu từ di vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ di vay,Tiền thu từ di vay,33,,71.312.935.035.068,61.181.118.746.857,33.0,,71312935035068.0,61181118746857.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(44.606.423.275.615),(48.845.493.809.058),34.0,,-44606423275615.0,-48845493809058.0
Tiền chi trả gốc thuê tài chính,Lưu chuyển tiền từ hoạt động tài chính > Tiền chi trả gốc thuê tài chính,Tiền chi trả gốc thuê tài chính,35,,(325.840.107.536),(313.354.773.438),35.0,,-325840107536.0,-313354773438.0
Cổ tức lợi nhuận đã trả cho chủ sở hữu,Lưu chuyển tiền từ hoạt động tài chính > Cổ tức lợi nhuận đã trả cho chủ sở hữu,Cổ tức lợi nhuận đã trả cho chủ sở hữu,36,,-,(57.789.721.550),36.0,,,-57789721550.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,31.380.571.651.917,11.964.480.442.811,40.0,,31380571651917.0,11964480442811.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,6.335.508.363.664,(533.856.532.869),50.0,,6335508363664.0,-533856532869.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,5,4.558.984.549.152,5.050.743.180.748,60.0,5.0,4558984549152.0,5050743180748.0
Ảnh hưởng của thay đổi tỷ giá,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá,Ảnh hưởng của thay đổi tỷ giá,61,,92.087.529.436,42.097.901.273,61.0,,92087529436.0,42097901273.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,5,10.986.580.442.252,4.558.984.549.152,70.0,5.0,10986580442252.0,4558984549152.0
