row_label_raw,row_label_full,col_0,Giá trị hợp lý tại ngày hợp nhất VND,numeric__Giá trị hợp lý tại ngày hợp nhất VND
Tài sản,Tài sản,Tài sản,910.877.437.212,910877437212.0
Tiền,Tiền,Tiền,16.288.397.022,16288397022.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,178.941.714.052,178941714052.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.333.339.072,2333339072.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,713.313.987.066,713313987066.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,(372.296.158.313),-372296158313.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,(293.261.761.034),-293261761034.0
Phải trả khác,Phải trả khác,Phải trả khác,(22.545.676.178),-22545676178.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,(56.488.721.101),-56488721101.0
Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,(250.581.278.899),-250581278899.0
Lãi từ giao dịch mua giả rè,Lãi từ giao dịch mua giả rè,Lãi từ giao dịch mua giả rè,(229.038.027.743),-229038027743.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(21.543.251.156),-21543251156.0
Tổng giá phí đầu tư,Tổng giá phí đầu tư,Tổng giá phí đầu tư,288.000.000.000,288000000000.0
